numero_dpe;conso_5_usages_ep;conso_5_usages_par_m2_ep;conso_chauffage_ep;conso_ecs_ep;conso_refroidissement_ep;conso_eclairage_ep;conso_auxiliaires_ep;conso_5 usages_ef;conso_5 usages_par_m2_ef;conso_chauffage_ef;conso_ecs_ef;conso_refroidissement_ef;conso_eclairage_ef;conso_auxiliaires_ef;conso_5 usages_ef_energie_n1;conso_chauffage_ef_energie_n1;conso_ecs_ef_energie_n1;conso_5 usages_ef_energie_n2;conso_chauffage_ef_energie_n2;Conso_ecs_ef_energie_n2;conso_5_usages_ef_energie_n3;conso_chauffage_ef_energie_n3;conso_ecs_ef_energie_n3;conso_chauffage_installation_chauffage_n1;conso_chauffage_generateur_n1_installation_n1;conso_chauffage_generateur_n2_installation_n1;conso_chauffage_installation_chauffage_n2;conso_chauffage_generateur_n1_installation_n2;conso_chauffage_generateur_n2_installation_n2;conso_ef_installation_ecs_n1;conso_ef_generateur_n1_ecs_n1;conso_ef_generateur_n2_ecs_n1;conso_refroidissement_annuel
2238N1124732U;4510,30;72,60;2358,80;1520,60;0,00;305,50;325,40;4111,10;66,20;2330,00;1506,80;0,00;132,80;141,50;3804,00;2307,90;1496,10;307,10;22,10;10,70;;;;;;;;;;;;;
2238N0754515R;1617,10;31,00;1157,10;0,00;0,00;80,10;31,10;1181,00;22,70;981,00;0,00;0,00;34,80;13,50;845,50;845,50;0,00;183,80;135,40;0,00;;;;;;;;;;;;;
2338N3988104N;4003,10;63,90;1731,40;1775,90;0,00;81,50;0,00;3591,10;57,40;1599,70;1775,90;0,00;35,40;0,00;3274,20;1498,30;1775,90;136,80;101,40;0,00;;;;;;;;;;;;;
2238N0637139F;4847,50;68,20;2744,40;2202,40;0,00;113,00;0,00;4541,70;63,90;2744,40;1562,00;0,00;49,10;0,00;4306,40;2744,40;1562,00;49,10;0,00;0,00;;;;;;;;;;;;;
2238N1155511P;4752,90;67,70;2527,80;2439,70;0,00;106,10;0,00;4425,00;63,10;2502,90;1707,00;0,00;46,10;0,00;4172,80;2483,70;1689,10;83,20;19,20;17,90;;;;;;;;;;;;;
2238N2152178Y;5784,90;67,70;3309,70;2315,50;0,00;416,50;0,00;2515,20;29,40;1439,00;714,00;0,00;181,10;0,00;2515,20;1439,00;714,00;;;;;;;;;;;;;;;;
2238N1478791L;2920,60;65,30;922,80;2351,80;0,00;72,70;3,80;2734,10;61,20;922,80;1667,90;0,00;31,60;1,70;2590,70;922,80;1667,90;33,30;0,00;0,00;;;;;;;;;;;;;
2238N2072062O;4704,40;73,70;2740,30;2122,70;0,00;88,70;0,00;4351,60;68,30;2646,80;1505,40;0,00;38,60;0,00;4080,30;2574,80;1505,40;110,50;72,00;0,00;;;;;;;;;;;;;
2338N3714829Y;4210,70;67,00;2256,60;1516,00;0,00;96,60;5,10;3963,00;63,10;2256,60;1516,00;0,00;42,00;2,20;3772,50;2256,60;1516,00;44,20;0,00;0,00;;;;;;;;;;;;;
2138N0893523C;6217,20;63,30;4022,70;2004,20;0,00;458,20;57,30;4744,20;48,40;3790,00;618,00;0,00;199,20;24,90;3611,00;3611,00;0,00;1133,20;179,00;618,00;;;;;;;;;;;;;
2238N0677048E;4922,00;53,10;2323,00;2729,00;0,00;121,80;12,80;2140,00;23,10;1010,00;841,50;0,00;52,90;5,60;1910,00;1010,00;841,50;;;;;;;;;;;;;;;;
2438N0854665R;5209,80;53,00;2916,60;1669,80;0,00;378,50;244,90;2265,10;23,00;1268,10;726,00;0,00;164,60;106,50;2265,10;1268,10;726,00;;;;;;;;;;;;;;;;
2238N3100573R;7687,30;58,90;5176,00;1548,60;0,00;586,00;376,70;3342,30;25,60;2250,40;673,30;0,00;254,80;163,80;3342,30;2250,40;673,30;;;;;;;;;;;;;;;;
2238N1559816U;8654,00;98,10;6275,00;1733,00;0,00;482,00;164,00;6787,00;77,00;5753,00;753,00;0,00;210,00;71,00;6787,00;5753,00;753,00;;;;;;;;;;;;;;;;
2338N4366196N;2546,80;26,60;49,80;1928,00;0,00;132,10;0,00;2197,00;23,00;21,60;1928,00;0,00;57,40;0,00;1928,00;0,00;1928,00;79,10;21,60;0,00;;;;;;;;;;;;;
2438N3951336K;3675,40;83,00;1769,40;1609,40;0,00;221,70;75,00;3471,00;78,40;1750,50;1591,50;0,00;96,40;32,60;3313,80;1735,90;1577,80;157,20;14,50;13,70;;;;;;;;;;;;;
2138N0565719G;3719,30;78,20;1869,40;2135,70;0,00;93,00;5,80;3529,80;74,30;1869,40;1514,70;0,00;40,40;2,50;3384,10;1869,40;1514,70;43,00;0,00;0,00;;;;;;;;;;;;;
2138N0484238J;2449,50;46,20;1345,70;830,70;0,00;93,70;4,70;2158,60;40,80;1345,70;589,20;0,00;40,70;2,00;1934,90;1345,70;589,20;42,80;0,00;0,00;;;;;;;;;;;;;
2338N1844227S;3590,00;85,40;1404,50;1929,20;0,00;193,20;63,10;3409,40;81,20;1389,00;1909,00;0,00;84,00;27,40;3270,60;1377,10;1893,50;138,90;11,90;15,50;;;;;;;;;;;;;
2238N0500647N;4162,40;53,70;1994,00;2266,40;0,00;108,50;27,10;3845,30;49,60;1994,00;1607,40;0,00;47,20;11,80;3601,40;1994,00;1607,40;59,00;0,00;0,00;;;;;;;;;;;;;
2138N1042694L;4552,60;57,20;2168,00;2621,90;0,00;110,80;13,80;4255,80;53,60;2168,00;1859,50;0,00;48,20;6,00;4027,50;2168,00;1859,50;54,20;0,00;0,00;;;;;;;;;;;;;
2438N2154442C;3110,30;66,00;777,20;1954,90;0,00;65,00;28,40;2896,60;61,60;777,20;1954,90;0,00;28,30;12,40;2732,10;777,20;1954,90;40,60;0,00;0,00;;;;;;;;;;;;;
2338N3871453Y;8594,50;110,50;5078,80;2736,00;0,00;102,80;20,60;7671,60;98,70;4601,50;2731,10;0,00;44,70;8,90;6961,80;4234,30;2727,40;424,50;367,20;3,70;;;;;;;;;;;;;
2138N0983026N;4823,40;71,20;1858,80;3269,40;0,00;102,20;62,50;4403,80;65,10;1804,20;2318,70;0,00;44,40;27,20;4080,90;1762,20;2318,70;113,60;42,00;0,00;;;;;;;;;;;;;
2238N0775394S;3071,70;51,80;1552,50;1559,90;0,00;264,20;0,00;1335,50;22,60;675,00;481,00;0,00;114,90;0,00;1335,50;675,00;481,00;;;;;;;;;;;;;;;;
2138N0574966X;5636,70;70,90;2819,20;3232,30;0,00;139,10;17,40;4867,00;61,30;2591,10;2047,70;0,00;60,50;7,60;4275,00;2415,50;1859,50;431,80;175,50;188,20;;;;;;;;;;;;;
2338N4066458D;4637,40;66,00;2462,90;1642,50;0,00;354,70;177,30;4255,50;60,60;2385,50;1638,70;0,00;154,20;77,10;3961,70;2326,00;1635,80;293,80;59,50;2,90;;;;;;;;;;;;;
2338N2974814V;5169,30;51,80;3300,50;1138,50;0,00;438,20;146,10;2247,50;22,50;1435,00;495,00;0,00;190,50;63,50;2247,50;1435,00;495,00;;;;;;;;;;;;;;;;
2238N2870994S;5439,00;80,80;3502,90;2119,60;0,00;91,30;5,70;5194,40;77,20;3502,90;1503,30;0,00;39,70;2,50;5006,20;3502,90;1503,30;42,20;0,00;0,00;;;;;;;;;;;;;
2238N0965246S;2040,10;46,70;287,00;1356,40;0,00;49,30;3,50;887,00;20,40;124,80;418,20;0,00;21,40;1,50;566,00;124,80;418,20;;;;;;;;;;;;;;;;
2438N2098185J;4063,10;65,00;1895,30;1666,80;0,00;289,00;212,00;3779,90;61,00;1895,30;1666,80;0,00;125,70;92,20;3779,90;1895,30;1666,80;3779,90;1895,30;1666,80;;;;;;;;;;;;;
2238N0757631N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N1912886K;4350,00;53,20;2129,70;2317,50;0,00;111,50;7,00;4024,00;49,30;2129,70;1643,60;0,00;48,50;3,00;3773,30;2129,70;1643,60;51,50;0,00;0,00;;;;;;;;;;;;;
2238N1763909N;6591,60;72,20;4341,90;2272,40;0,00;452,00;26,60;6185,40;67,80;4312,00;1596,00;0,00;196,50;11,60;5873,00;4289,00;1584,00;312,40;23,00;12,00;;;;;;;;;;;;;
2238N1456978M;31429,90;52,40;16304,40;15963,60;0,00;2852,90;0,00;29010,80;48,40;16125,00;11232,00;0,00;1240,40;0,00;27150,00;15987,00;11163,00;1860,80;138,00;69,00;;;;;;;;;;;;;
2438N1156729N;3714,30;75,50;1900,00;1493,60;0,00;71,90;8,50;3498,10;71,10;1882,60;1476,00;0,00;31,30;3,70;3331,70;1869,30;1462,40;61,80;13,40;13,60;;;;;;;;;;;;;
2338N3149089S;7448,90;45,00;4487,30;1929,50;0,00;673,10;359,00;3238,70;19,00;1951,00;838,90;0,00;292,70;156,10;3238,70;1951,00;838,90;;;;;;;;;;;;;;;;
2238N0543124G;4398,80;50,00;2158,60;2459,70;0,00;116,40;0,00;4118,60;46,80;2158,60;1744,40;0,00;50,60;0,00;3903,00;2158,60;1744,40;50,60;0,00;0,00;;;;;;;;;;;;;
2438N1219594K;5499,10;78,20;3480,10;1503,70;0,00;65,40;0,00;2390,90;34,00;1513,10;653,80;0,00;28,40;0,00;2195,30;1513,10;653,80;;;;;;;;;;;;;;;;
2369N2328255J;3173,40;73,50;1302,30;1610,20;0,00;54,10;0,00;3025,90;70,10;1302,30;1610,20;0,00;23,50;0,00;2912,50;1302,30;1610,20;23,50;0,00;0,00;;;;;;;;;;;;;
2473N1236970B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N0407726Q;4123,50;62,20;1828,50;2770,80;0,00;95,70;0,00;3797,10;57,30;1712,10;1941,60;0,00;41,60;0,00;3546,10;1622,60;1923,50;149,20;89,50;18,10;;;;;;;;;;;;;
2138N1042967Y;2458,20;60,60;660,70;2156,80;0,00;56,50;7,10;2306,80;56,90;660,70;1529,60;0,00;24,60;3,10;2190,30;660,70;1529,60;27,60;0,00;0,00;;;;;;;;;;;;;
2338N2392088H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338N3871214T;7773,20;118,70;4553,30;2563,30;0,00;86,60;17,30;6969,60;106,50;4125,40;2558,70;0,00;37,60;7,50;6351,50;3796,20;2555,30;377,80;329,20;3,50;;;;;;;;;;;;;
2138N0143215C;11512,50;64,00;7254,80;3024,00;0,00;873,90;359,80;10728,00;60,00;7196,70;2994,90;0,00;380,00;156,50;10728,00;7196,70;2994,90;10728,00;7196,70;2994,90;;;;;;;;;;;;;
2238N1932722I;5286,10;80,00;3235,30;2290,90;0,00;100,00;0,00;5007,90;75,80;3209,80;1612,80;0,00;43,50;0,00;4793,90;3190,20;1603,60;72,30;19,60;9,20;;;;;;;;;;;;;
2238N2470492U;5513,00;71,00;2267,50;2766,40;0,00;359,30;119,80;4490,70;58,00;2145,60;2136,80;0,00;156,20;52,10;4490,70;2145,60;2136,80;4490,70;2145,60;2136,80;;;;;;;;;;;;;
2238N0580521P;3459,20;86,70;1943,40;1761,70;0,00;56,20;3,50;3308,60;82,90;1943,40;1249,40;0,00;24,40;1,50;3192,80;1943,40;1249,40;26,00;0,00;0,00;;;;;;;;;;;;;
2438N1044824M;5137,40;64,00;2884,00;1690,50;0,00;120,70;14,20;4622,80;57,60;2687,60;1690,50;0,00;52,50;6,20;4227,00;2536,50;1690,50;209,70;151,10;0,00;;;;;;;;;;;;;
2138N0383414N;7941,50;89,00;4634,80;2701,50;0,00;432,30;172,90;7518,00;84,00;4586,00;2668,90;0,00;188,00;75,20;7518,00;4586,00;2668,90;7518,00;4586,00;2668,90;;;;;;;;;;;;;
2138N0301575W;5725,30;62,80;3530,40;2378,80;0,00;406,20;0,00;5366,60;59,00;3484,40;1661,50;0,00;176,60;0,00;5090,70;3449,00;1641,70;231,70;35,40;19,70;;;;;;;;;;;;;
2138N0646430N;4014,80;63,50;1887,70;2403,70;0,00;88,20;4,90;3758,00;59,50;1869,60;1704,70;0,00;38,30;2,10;3560,40;1855,70;1704,70;54,40;13,90;0,00;;;;;;;;;;;;;
2338N0496240B;7142,30;63,40;5145,10;1919,90;0,00;484,30;0,00;3105,40;27,60;2237,00;592,00;0,00;210,60;0,00;3105,40;2237,00;592,00;;;;;;;;;;;;;;;;
2238N1644081T;5678,60;78,50;3226,20;2600,30;0,00;100,00;29,40;5334,80;73,80;3226,20;1844,20;0,00;43,50;12,80;5070,40;3226,20;1844,20;56,30;0,00;0,00;;;;;;;;;;;;;
2238N1217526U;5404,10;130,50;1559,30;1402,50;841,10;871,50;729,60;3332,40;80,50;873,40;1397,20;365,70;378,90;317,20;1738,80;345,80;1393,00;1593,60;527,60;4,10;;;;;;;;;;;;;
2138N0346765Y;172848,00;55,80;64327,00;119140,80;0,00;14911,50;4970,50;157397,20;50,90;63391,00;83561,00;0,00;6483,20;2161,10;145512,00;62671,00;82841,00;11885,20;720,00;720,00;;;;;;;;;;;;;
2238N2852634O;5038,80;56,30;2652,10;2555,50;0,00;134,80;0,00;4714,20;52,70;2652,10;1812,40;0,00;58,60;0,00;4464,50;2652,10;1812,40;58,60;0,00;0,00;;;;;;;;;;;;;
2138N0892592H;5347,80;62,80;3239,40;2017,10;0,00;104,40;13,90;3929,20;46,20;3012,50;622,00;0,00;45,40;6,10;2838,00;2838,00;0,00;847,90;174,50;622,00;;;;;;;;;;;;;
2338N0148636R;4610,20;70,60;2786,70;2012,50;0,00;89,80;0,00;4386,30;67,20;2786,70;1427,30;0,00;39,10;0,00;4214,00;2786,70;1427,30;39,10;0,00;0,00;;;;;;;;;;;;;
2238N3115026O;5535,00;125,00;3541,10;2272,70;0,00;65,70;8,20;5303,10;119,80;3525,10;1611,80;0,00;28,60;3,60;3445,20;3426,70;18,50;1679,50;86,10;1593,40;44,40;12,30;0,00;;;;;;;;;;
2238N2855396U;4609,90;53,40;2087,70;2709,40;0,00;121,20;22,70;4270,40;49,50;2087,70;1921,60;0,00;52,70;9,90;4009,30;2087,70;1921,60;62,60;0,00;0,00;;;;;;;;;;;;;
2238N0954487X;5923,90;58,70;3730,60;2289,60;0,00;455,60;0,00;2575,60;25,50;1622,00;706,00;0,00;198,10;0,00;2575,60;1622,00;706,00;;;;;;;;;;;;;;;;
2338N4363552V;7145,00;65,00;4744,90;1659,50;0,00;502,60;238,10;6681,50;60,00;4715,00;1644,50;0,00;218,50;103,50;6681,50;4715,00;1644,50;6681,50;4715,00;1644,50;;;;;;;;;;;;;
2238N1182338K;3427,60;53,00;1248,50;2415,70;0,00;95,70;5,60;3164,30;49,00;1248,50;1713,20;0,00;41,60;2,40;2961,70;1248,50;1713,20;44,10;0,00;0,00;;;;;;;;;;;;;
2238N2164873F;6340,20;75,20;3196,40;3223,70;0,00;124,40;62,20;5855,50;69,50;3196,40;2286,30;0,00;54,10;27,00;5482,70;3196,40;2286,30;81,10;0,00;0,00;;;;;;;;;;;;;
2438N2154488W;3421,30;77,10;1168,30;1896,50;0,00;61,30;26,80;3219,80;72,60;1168,30;1896,50;0,00;26,60;11,70;3064,90;1168,30;1896,50;38,30;0,00;0,00;;;;;;;;;;;;;
2238N1007693H;4637,60;74,20;2491,80;2412,30;0,00;84,10;0,00;4334,40;69,50;2434,40;1710,90;0,00;36,60;0,00;4101,20;2390,30;1710,90;80,70;44,10;0,00;;;;;;;;;;;;;
2138N0878923O;2861,50;70,60;1361,20;1289,70;0,00;199,30;11,30;2725,20;67,30;1355,70;1278,00;0,00;86,70;4,90;57090,00;28856,40;28233,60;4304,90;281,60;201,20;;;;;;;;;;;;;
2338N0006988R;6165,10;64,40;3511,80;1977,00;0,00;468,20;208,10;2680,50;28,00;1526,90;859,60;0,00;203,60;90,50;2680,50;1526,90;859,60;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
2238N2596650A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2438N1603911V;6727,50;41,00;3887,00;1420,30;485,90;635,40;299,00;2925,00;18,00;1690,00;617,50;211,30;276,30;130,00;2925,00;1690,00;617,50;;;;;;;;;;;;;;;;
2438N1482720Q;3615,60;86,10;1556,80;1717,30;0,00;58,70;22,00;3422,60;81,60;1556,80;1717,30;0,00;25,50;9,60;3274,10;1556,80;1717,30;35,10;0,00;0,00;;;;;;;;;;;;;
2238N1463290G;3938,70;84,80;1281,00;3072,90;0,00;61,20;36,70;3668,30;79,00;1281,00;2179,30;0,00;26,60;16,00;3460,40;1281,00;2179,30;42,60;0,00;0,00;;;;;;;;;;;;;
2338N2963232J;4571,00;50,50;2613,40;1197,40;0,00;475,20;285,10;1987,40;22,00;1136,20;520,60;0,00;206,60;124,00;1987,40;1136,20;520,60;;;;;;;;;;;;;;;;
2438N2152910E;5703,60;93,90;1902,10;3098,00;0,00;120,90;52,90;5306,00;87,40;1902,10;3098,00;0,00;52,60;23,00;5000,10;1902,10;3098,00;75,60;0,00;0,00;;;;;;;;;;;;;
2338N1847403W;2861,70;65,20;1069,50;2106,70;0,00;62,90;11,80;2693,30;61,40;1069,50;1494,10;0,00;27,30;5,10;2563,70;1069,50;1494,10;32,50;0,00;0,00;;;;;;;;;;;;;
2338N4433217G;3938,00;79,10;2131,70;1510,10;0,00;68,80;0,00;3750,70;75,40;2111,80;1510,10;0,00;29,90;0,00;3606,60;2096,50;1510,10;45,20;15,30;0,00;;;;;;;;;;;;;
2438N2218341T;4553,80;63,60;2489,90;1623,00;0,00;108,70;0,00;4304,60;60,20;2489,90;1623,00;0,00;47,30;0,00;4112,90;2489,90;1623,00;47,30;0,00;0,00;;;;;;;;;;;;;
2438N1045548I;3451,00;57,60;1515,80;1515,40;0,00;90,00;10,60;3110,50;52,00;1412,50;1515,40;0,00;39,10;4,60;2848,50;1333,10;1515,40;123,20;79,40;0,00;;;;;;;;;;;;;
2138N0564093S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N2470513P;5403,30;72,00;2202,80;2735,00;0,00;349,10;116,40;4399,30;58,00;2084,40;2112,50;0,00;151,80;50,60;4399,30;2084,40;2112,50;4399,30;2084,40;2112,50;;;;;;;;;;;;;
2138N0602328H;5959,00;60,90;3247,00;2093,00;0,00;430,00;189,00;2591,00;26,50;1412,00;910,00;0,00;187,00;82,00;2591,00;1412,00;910,00;;;;;;;;;;;;;;;;
2238N0733436Y;3188,20;44,80;2561,30;0,00;0,00;109,10;42,40;2444,10;34,40;2171,50;0,00;0,00;47,40;18,40;1871,70;1871,70;0,00;365,70;299,80;0,00;;;;;;;;;;;;;
2438N1317736C;10434,40;99,20;7384,80;2363,50;0,00;499,00;0,00;9993,70;95,10;7349,50;2345,90;0,00;217,00;0,00;9654,70;7322,40;2332,30;339,00;27,10;13,60;;;;;;;;;;;;;
2238N1912896U;3851,90;47,80;1650,30;2303,30;0,00;109,90;6,90;3530,80;43,90;1650,30;1633,50;0,00;47,80;3,00;3283,80;1650,30;1633,50;50,70;0,00;0,00;;;;;;;;;;;;;
2338N3988115Y;4563,40;72,90;2291,70;1775,90;0,00;81,50;0,00;4108,80;65,70;2117,30;1775,90;0,00;35,40;0,00;3759,10;1983,10;1775,90;169,60;134,20;0,00;;;;;;;;;;;;;
2338N0327728V;5484,50;59,60;3657,00;1666,90;0,00;457,10;53,80;2384,60;26,00;1590,00;514,00;0,00;198,70;23,40;2384,60;1590,00;514,00;;;;;;;;;;;;;;;;
2138N0726689K;7909,90;61,80;5121,80;2630,80;0,00;627,20;36,90;7347,00;57,50;5101,00;1845,00;0,00;272,70;16,00;6914,00;5085,00;1829,00;433,00;16,00;16,00;;;;;;;;;;;;;
2438N1277362G;5399,60;64,20;3142,90;1691,90;0,00;122,90;6,80;5080,40;60,40;3142,90;1691,90;0,00;53,40;3,00;4834,80;3142,90;1691,90;56,40;0,00;0,00;;;;;;;;;;;;;
2338N3449586H;5100,10;50,40;3054,40;1152,30;0,00;489,90;201,70;2217,40;21,90;1328,00;501,00;0,00;213,00;87,70;2217,40;1328,00;501,00;;;;;;;;;;;;;;;;
2138N0858591O;5854,60;95,50;4181,60;1686,70;0,00;73,10;4,60;5585,10;91,20;4181,60;1196,30;0,00;31,80;2,00;5377,90;4181,60;1196,30;33,70;0,00;0,00;;;;;;;;;;;;;
2238N2998384I;4598,60;38,00;2185,10;1337,20;0,00;521,80;554,40;1999,40;16,00;950,10;581,40;0,00;226,90;241,10;1999,40;950,10;581,40;;;;;;;;;;;;;;;;
2138N0230926P;4308,40;68,00;1304,80;3595,40;0,00;302,50;56,70;4052,00;64,00;1304,80;2549,90;0,00;131,50;24,70;3854,70;1304,80;2549,90;156,20;0,00;0,00;;;;;;;;;;;;;
2473N1236951I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N0944938Q;5502,80;77,60;3502,20;2253,90;0,00;88,90;0,00;5275,50;74,40;3502,20;1598,50;0,00;38,60;0,00;5100,70;3502,20;1598,50;38,60;0,00;0,00;;;;;;;;;;;;;
2438N1685444S;5652,70;86,10;3232,80;1761,20;0,00;82,70;15,80;2457,70;37,50;1405,50;765,70;0,00;36,00;6,90;2214,10;1405,50;765,70;;;;;;;;;;;;;;;;
2338N3484051W;5369,60;50,00;3370,90;1223,10;0,00;507,10;268,50;2334,60;22,00;1465,60;531,80;0,00;220,50;116,70;2334,60;1465,60;531,80;;;;;;;;;;;;;;;;
2338N3658149Y;7249,40;43,80;4588,50;1651,40;0,00;734,20;0,00;3151,90;19,10;1995,00;718,00;0,00;319,20;0,00;3151,90;1995,00;718,00;;;;;;;;;;;;;;;;
2338N1681350F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2438N2152801Z;5023,30;60,50;2202,40;2193,70;0,00;116,40;36,40;4668,80;56,30;2202,40;2193,70;0,00;50,60;15,80;4396,10;2202,40;2193,70;66,40;0,00;0,00;;;;;;;;;;;;;
2238N0894742A;8620,00;55,00;5207,90;2199,90;0,00;673,40;538,80;3747,80;23,00;2264,30;956,50;0,00;292,80;234,20;3747,80;2264,30;956,50;;;;;;;;;;;;;;;;
2338N3190350R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N1722082U;11687,30;68,00;6401,60;3837,00;0,00;802,60;646,00;5081,40;29,60;2783,30;1668,30;0,00;349,00;280,90;5081,40;2783,30;1668,30;;;;;;;;;;;;;;;;
2338N0799133U;3006,00;65,50;1029,00;2273,30;0,00;69,20;12,20;2799,90;61,10;1029,00;1612,20;0,00;30,10;5,30;2641,30;1029,00;1612,20;35,40;0,00;0,00;;;;;;;;;;;;;
2338N0728532J;4419,90;68,70;2558,20;1988,90;0,00;95,20;5,90;4165,00;64,80;2558,20;1410,60;0,00;41,40;2,60;3968,80;2558,20;1410,60;44,00;0,00;0,00;;;;;;;;;;;;;
2238N1394049D;3637,20;75,00;1451,20;1855,20;0,00;201,40;129,50;3450,20;71,00;1451,20;1855,20;0,00;87,60;56,30;3450,20;1451,20;1855,20;3450,20;1451,20;1855,20;;;;;;;;;;;;;
2238N2358147V;3937,40;80,70;1173,70;2047,60;0,00;70,80;5,00;3196,10;65,50;1173,70;1452,20;0,00;30,80;2,20;2625,80;1173,70;1452,20;33,00;0,00;0,00;;;;;;;;;;;;;
2238N0816339N;4698,00;47,40;2527,70;1676,60;386,40;446,10;0,00;2042,60;20,60;1099,00;517,00;168,00;194,00;0,00;2042,60;1099,00;517,00;;;;;;;;;;;;;;;;
2238N1261021R;8555,00;100,90;5883,00;1977,00;0,00;460,00;235,00;6492,00;76,60;5330,00;860,00;0,00;200,00;102,00;6492,00;5330,00;860,00;;;;;;;;;;;;;;;;
2438N2152874U;6119,80;92,40;2160,00;3193,20;0,00;131,80;57,70;5686,50;85,90;2160,00;3193,20;0,00;57,30;25,10;5353,20;2160,00;3193,20;82,40;0,00;0,00;;;;;;;;;;;;;
2238N2035420G;10134,00;74,00;6599,70;2344,20;0,00;613,10;577,00;4406,10;32,00;2869,40;1019,20;0,00;266,60;250,90;4406,10;2869,40;1019,20;;;;;;;;;;;;;;;;
2338N0977885W;5714,20;66,80;1753,50;3202,50;0,00;117,30;73,30;5273,60;61,70;1753,50;3190,50;0,00;51,00;31,90;4934,70;1753,50;3181,20;92,10;0,00;9,30;;;;;;;;;;;;;
2438N2080701X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N1590265X;4731,60;53,00;2941,20;1125,30;0,00;409,20;255,80;2057,20;23,00;1278,80;489,30;0,00;177,90;111,20;2057,20;1278,80;489,30;;;;;;;;;;;;;;;;
2338N3958829O;4609,30;57,70;2470,10;1181,60;0,00;109,60;7,30;4068,00;51,00;2470,10;1181,60;0,00;47,70;3,20;3651,60;2470,10;1181,60;50,90;0,00;0,00;;;;;;;;;;;;;
2238N0900960E;1973,00;102,50;884,10;1271,20;0,00;29,10;9,70;1867,10;97,00;884,10;901,60;0,00;12,70;4,20;1785,70;884,10;901,60;16,90;0,00;0,00;;;;;;;;;;;;;
2438N1371364S;6009,90;61,80;2170,90;1519,10;0,00;103,00;22,90;2613,00;26,90;943,90;660,50;0,00;44,80;10,00;1659,10;943,90;660,50;;;;;;;;;;;;;;;;
2338N0145764F;2785,00;43,60;1157,80;1607,60;0,00;92,40;32,60;2509,70;39,30;1157,80;1140,10;0,00;40,20;14,20;2298,00;1157,80;1140,10;54,30;0,00;0,00;;;;;;;;;;;;;
2238N3012727Z;7660,10;54,00;5243,30;1228,90;0,00;614,40;573,50;3330,50;23,00;2279,70;534,30;0,00;267,20;249,30;3330,50;2279,70;534,30;;;;;;;;;;;;;;;;
2438N3950523D;64688,10;76,30;33847,40;25165,40;0,00;4240,70;1434,60;60838,70;71,80;33484,30;24886,90;0,00;1843,80;623,80;57877,70;33205,00;24672,70;2961,00;279,30;214,20;;;;;;;;;;;;;
2238N1526571D;3555,50;93,00;1182,40;2791,10;0,00;50,40;30,20;3333,00;87,30;1182,40;1979,50;0,00;21,90;13,10;3161,90;1182,40;1979,50;35,00;0,00;0,00;;;;;;;;;;;;;
2238N1313712G;7021,30;71,90;3501,90;4083,10;0,00;131,50;16,40;6668,80;68,40;3501,90;2895,80;0,00;57,20;7,10;6397,70;3501,90;2895,80;64,30;0,00;0,00;;;;;;;;;;;;;
2438N1446930C;4762,70;51,00;2952,00;1212,80;0,00;126,10;7,90;4288,60;46,00;2815,90;1212,80;0,00;54,80;3,40;3924,00;2711,10;1212,80;163,00;104,70;0,00;;;;;;;;;;;;;
2338N2691955Q;5912,50;53,20;3612,50;1393,90;0,00;545,90;360,10;2570,60;23,10;1570,70;606,00;0,00;237,40;156,60;2570,60;1570,70;606,00;;;;;;;;;;;;;;;;
2338N2335799I;6051,80;57,00;4016,20;1292,90;0,00;495,10;247,60;2631,20;24,00;1746,20;562,10;0,00;215,30;107,60;2631,20;1746,20;562,10;;;;;;;;;;;;;;;;
2238N2596664O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2156N0839018L;4468,90;40,10;2664,70;1332,30;0,00;467,50;4,40;1943,00;17,50;1158,60;579,30;0,00;203,30;1,90;2037,60;1158,60;579,30;;;;;;;;;;;;;;;;
2238N1511629L;10456,90;154,00;8192,00;1816,40;0,00;291,50;157,00;7224,80;106,00;6240,00;789,80;0,00;126,80;68,30;7224,80;6240,00;789,80;7224,80;6240,00;789,80;;;;;;;;;;;;;
2438N1446934G;2809,90;54,60;1509,60;970,80;0,00;69,50;4,30;2554,10;49,70;1440,00;970,80;0,00;30,20;1,90;2357,30;1386,50;970,80;85,70;53,60;0,00;;;;;;;;;;;;;
2338N0759459W;10042,80;108,40;7599,90;1801,80;0,00;431,10;210,00;7849,80;84,80;6787,60;783,40;0,00;187,40;91,30;6162,80;6162,80;0,00;1687,00;624,80;783,40;;;;;;;;;;;;;
