numero_dpe;conso_5_usages_ep;conso_5_usages_par_m2_ep;conso_chauffage_ep;conso_ecs_ep;conso_refroidissement_ep;conso_eclairage_ep;conso_auxiliaires_ep;conso_5 usages_ef;conso_5 usages_par_m2_ef;conso_chauffage_ef;conso_ecs_ef;conso_refroidissement_ef;conso_eclairage_ef;conso_auxiliaires_ef;conso_5 usages_ef_energie_n1;conso_chauffage_ef_energie_n1;conso_ecs_ef_energie_n1;conso_5 usages_ef_energie_n2;conso_chauffage_ef_energie_n2;Conso_ecs_ef_energie_n2;conso_5_usages_ef_energie_n3;conso_chauffage_ef_energie_n3;conso_ecs_ef_energie_n3;conso_chauffage_installation_chauffage_n1;conso_chauffage_generateur_n1_installation_n1;conso_chauffage_generateur_n2_installation_n1;conso_chauffage_installation_chauffage_n2;conso_chauffage_generateur_n1_installation_n2;conso_chauffage_generateur_n2_installation_n2;conso_ef_installation_ecs_n1;conso_ef_generateur_n1_ecs_n1;conso_ef_generateur_n2_ecs_n1;conso_refroidissement_annuel
2238N0901049P;3439,60;102,50;1541,30;2216,20;0,00;50,70;16,90;3255,10;97,00;1541,30;1571,80;0,00;22,10;7,40;3113,10;1541,30;1571,80;29,40;0,00;0,00;;;;;;;;;;;;;
2238N2744053J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2138N0230853U;53014,10;69,50;18459,00;40998,60;0,00;3652,00;913,00;49917,80;65,50;18459,00;29077,00;0,00;1587,80;397,00;47536,00;18459,00;29077,00;2381,80;0,00;0,00;;;;;;;;;;;;;
2238N0580631V;3859,80;57,60;1918,60;2134,10;0,00;95,90;5,60;3618,00;54,00;1918,60;1513,50;0,00;41,70;2,50;3432,10;1918,60;1513,50;44,10;0,00;0,00;;;;;;;;;;;;;
2138N0655501K;2959,50;63,20;983,70;2144,20;0,00;75,40;27,40;2702,30;57,80;983,70;1520,70;0,00;32,80;11,90;2504,40;983,70;1520,70;44,70;0,00;0,00;;;;;;;;;;;;;
2438N1446968O;5720,10;59,70;3879,40;1227,10;0,00;129,40;8,10;5194,30;54,20;3700,50;1227,10;0,00;56,30;3,50;4789,90;3562,90;1227,10;197,40;137,60;0,00;;;;;;;;;;;;;
2438N3987154A;5853,80;46,00;3706,10;1270,30;0,00;576,20;301,20;2545,10;20,00;1611,30;552,30;0,00;250,50;131,00;2545,10;1611,30;552,30;;;;;;;;;;;;;;;;
2438N2263007R;3739,50;56,00;1651,40;1678,10;0,00;331,90;78,10;3488,50;52,00;1643,60;1666,70;0,00;144,30;34,00;3488,50;1643,60;1666,70;3488,50;1643,60;1666,70;;;;;;;;;;;;;
2238N1463418E;6709,70;61,10;2502,60;4339,00;0,00;144,60;86,70;6071,10;55,40;2502,60;3077,30;0,00;62,90;37,70;5579,90;2502,60;3077,30;100,60;0,00;0,00;;;;;;;;;;;;;
2438N1684393H;5058,60;74,00;3157,70;1388,20;0,00;73,40;0,00;2199,40;32,20;1372,90;603,50;0,00;31,90;0,00;2008,40;1372,90;603,60;;;;;;;;;;;;;;;;
