numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
2438N0025751J;358.3;25;16.7;;;;;;;358.3;25;16.7;0;158.3;158.3
2338N0790961M;197.4;0;197.4;205.6;117.7;0;;;;346.3;117.7;197.4;0;68.3;19.5
2438N0145126S;623.7;353;193.3;623.7;353;193.3;;;;623.7;353;193.3;0;50.6;26.8
2238N0954488Y;518;329;140;;;;;;;518;329;140;0;39;0
2138N0565482D;444.2;225.8;218.4;118;0;0;;;;497.3;225.8;218.4;0;111.1;6.9
2438N3297527X;522.2;283.4;102.2;;;;;;;522.2;283.4;102.2;0;39.1;97.4
2238N2641770K;;;;;;;;;;;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;;;;;;;;;;;
"Girot""";;;;;;;;;;;;;;;
2238N2810010E;418.5;184.8;233.8;155.3;0;0;;;;472.1;184.8;233.8;0;127.1;28.2
2438N1369688G;462;262;123;;;;;;;462;262;123;0;39;11
2438N1559311L;645.1;343.7;256;645.1;343.7;256;;;;645.1;343.7;256;0;35.9;9.4
2138N0336406N;;;;;;;;;;;;;;;
"Domaine des Rampeaux""";;;;;;;;;;;;;;;
2238N1330910S;784.8;199.8;453.4;;;;;;;703.4;199.8;453.4;0;123.4;8.2
2138N0416995C;582;309;194;;;;;;;582;309;194;0;59;20
2238N1457538A;265.6;265.6;0;377.2;0;212.4;;;;566;265.6;212.4;0;164.8;0
2338N3027938B;295;141.5;153.5;133.1;5.2;4.2;;;;358.1;146.6;157.7;0;99;24.7
2338N0231690B;515.9;343.4;111.2;;;;;;;515.9;343.4;111.2;0;35;26.3
2338N1191211S;832;415.9;223.4;832;415.9;223.4;;;;832;415.9;223.4;0;76.8;116
2238N1580940G;;;;;;;;;;;;;;;
"Résidence Gueta""";;;;;;;1275354.3;;;;;;;;
2238N0939572G;525;334;110;;;;;;;525;334;110;0;51;12
2438N1562393Z;655.3;350;258.2;655.3;350;258.2;;;;655.3;350;258.2;0;37.2;9.8
2338N0839363C;549;363;102;;;;;;;549;363;102;0;48;18
2238N2924532W;549;297;104;;;;;;;549;297;104;48;59;15
2338N3546913Q;252.4;97.7;154.7;119.9;0;0;;;;292.4;97.7;154.7;0;101.9;18
2238N2522523Z;490.6;316;174.7;155.4;0;0;;;;549;316;174.7;0;146.3;9.1
2238N1331216M;426.5;261.7;164.8;182.7;0;0;;;;500.1;261.7;164.8;0;182.7;0
2338N1681340V;;;;;;;;;;;;;;;
Bâtiment D;;;;;;;;;;;;;;;
" 67 avenue de Claix""";;;;;;;;;;;;;;;
2338N3762152B;479.7;305.3;110.5;;;;;;;479.7;305.3;110.5;0;46.5;17.4
2238N0863799X;;;;;;;;;;;;;;;
"Rue Marguerite Rozand""";;;;;;;1043021.2;;;;;;;;
2238N0410977R;489.6;315.6;100;;;;;;;457.9;315.6;100;0;41.6;0.7
2238N0182412S;191.9;47.3;144.5;193.3;0;0;;;;268.5;47.3;144.5;0;193.3;0
2438N1305296Q;505;236;114;;;;;;;505;236;114;75;39;4
2238N0978501N;59.4;0;59.4;150.4;53.3;0;;;;173.8;53.3;59.4;7.8;80.4;8.9
2338N0220269U;601;429;172;101;3;3;;;;702;432;175;0;60;14
2338N0856164H;382.5;242.7;139.8;237.2;31.7;44.3;;;;533.4;274.4;184.2;0;161.2;0
2138N0923682B;351.1;159.4;191.7;125.1;0;0;;;;399.5;159.4;191.7;0;125.1;0
2338N0728503G;375.6;227.9;147.7;114.1;0;0;;;;419.8;227.9;147.7;0;107.8;6.3
2438N2101168C;684.2;318.6;322.1;;;;;;;684.2;318.6;322.1;0;15.5;27.9
2138N0346855K;470.2;216.7;253.4;198.8;0;5.6;;;;560.8;216.7;259;0;144.9;48.3
2338N4564621G;419.2;255.3;163.9;151.5;0;0;;;;472.9;255.3;163.9;0;143.1;8.4
2238N0757111N;351.1;174.7;176.4;372.5;103.1;0;;;;548;277.8;176.4;0;193.9;75.4
2238N1580624C;;;;;;;;;;;;;;;
"Résidence Gueta""";;;;;;;1278460.7;;;;;;;;
2138N0571578P;283.9;142.3;102.5;283.9;142.3;102.5;;;;283.9;142.3;102.5;0;28.4;10.7
2338N2133821Y;338;159.7;178.3;230;45.1;0;;;;447.5;204.8;178.3;0;157.2;27.7
2238N1313742K;449.9;180.3;269.6;146.9;0;0;;;;502;180.3;269.6;0;130.6;16.3
2238N0900896S;142.1;70.3;71.7;58.8;0;0;;;;165.9;70.3;71.7;0;44.1;14.7
2238N0004362Q;610;431;128;;;;;;;610;431;128;0;38;0
2138N0245315A;713;446;148;;;;;;;713;446;148;0;66;12
2338N0329628X;;;;;;;;;;;;;;;
"La Cheneraie""";;;;;;;;;;;;;;;
2238N2641804S;;;;;;;;;;;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;;;;;;;;;;;
"Girot""";;;;;;;;;;;;;;;
2338N3714853W;468.4;298.2;170.2;142.4;0;0;;;;523.5;298.2;170.2;0;132.9;9.5
2338N1706792T;277.2;80.4;196.9;33.5;6;0.8;;;;310.7;86.4;197.7;0;16.8;9.8
2238N2606273D;843.6;543.5;185;843.6;543.5;185;;;;843.6;543.5;185;0;63.5;51.6
2238N2664628O;507.5;334.9;172.6;198.5;9.6;5.2;;;;587.5;344.6;177.8;0;163.2;20.4
2254N3067640Q;615.8;452.7;163.1;185.4;0;0;;;;689.4;452.7;163.1;0;165.9;19.5
2338N1132494J;427.6;255.1;172.6;194.2;0;0;;;;500.5;255.1;172.6;0;182.8;11.4
2438N0821123P;555.8;364.9;190.9;296.5;77.1;0;;;;709.9;441.9;190.9;0;196.4;23.1
2438N0154666Q;380;209;105;;;;;;;380;209;105;0;27;0
2338N0906327Q;262.9;156.3;106.6;103.7;2.4;1.7;;;;382.5;158.7;108.3;0;83.8;15.7
2238N3130405B;499;272;126;;;;;;;499;272;126;0;57;8
2338N2372476Z;429.5;248.1;181.4;167.2;33.5;0;;;;511;281.6;181.4;0;125.8;7.9
2138N0622644R;378.7;182.3;196.4;144.5;0;0;;;;441.8;182.3;196.4;0;115.6;28.9
2238N0733453P;174.5;174.5;0;372.1;103;0;;;;371.1;277.5;0;0;193.7;75.3
2438N0145026W;582.2;322.2;187.7;582.2;322.2;187.7;;;;582.2;322.2;187.7;0;47.3;25
2438N4431160E;113.7;42.7;0;;;;;;;433;173.4;188.5;0;52.1;19
2338N0977896H;431.7;108.7;323;229.4;0;2.5;;;;510.1;108.7;325.5;0;139.6;87.3
2138N0141387U;1339.1;793;348.5;1339.1;793;348.5;;;;1339.1;793;348.5;0;146.1;51.6
2238N2215387B;416.8;253.1;105.3;;;;;;;416.8;253.1;105.3;0;33.6;24.8
2438N2640294S;436;241.8;194.1;58.4;4.4;4;;;;494.4;246.2;198.2;0;35.3;14.7
2138N0692293M;463.7;286.1;177.7;154.3;0;0;;;;519.1;286.1;177.7;0;124.9;29.4
2138N0756040H;533;210.7;242.3;533;210.7;242.3;;;;533;210.7;242.3;0;44.5;35.6
2338N1091150F;519.2;341.5;177.7;131.8;7.2;3.7;;;;651;348.7;181.4;0;38.5;82.3
2138N0314753S;706;265.5;372.4;706;265.5;372.4;;;;706;265.5;372.4;0;40.8;27.2
2338N4456526T;;;;;;;;;;;;;;;
"ZAC de Pierre Louve""";;;;;;;;;;;;;;;
2338N2084915Y;697.3;326;303.9;;;;;;;697.3;326;303.9;0;42;25.4
2338N0790896Z;230.5;0;230.5;334.9;222.1;0;;;;492.6;222.1;230.5;0;87.7;25.1
2238N2089245L;563;302;204;;;;;;;563;302;204;0;42;0
2238N0449467B;283;102.5;180.6;111.5;0;0;;;;322.3;102.5;180.6;0;99.8;11.7
2338N0781376V;338;158.9;179.1;139.6;2.7;4.7;;;;391.1;161.6;183.8;0;100.7;31.5
2238N2522514Q;467.8;294.3;173.5;155.2;0;0;;;;523.5;294.3;173.5;0;146.1;9.1
2438N0587183X;384;224.3;159.7;106.1;0;0;;;;422;224.3;159.7;0;99.9;6.2
2238N1519139H;488;330;158;70;6;3;;;;558;336;161;0;40;5
2238N2493253F;523;350;121;;;;;;;523;350;121;0;40;0
2338N1171100F;631.9;386.4;112.7;;;;;;;631.9;386.4;112.7;56.3;64.4;12.1
2338N0145754V;187.2;80.6;106.6;122.1;0;0;;;;227.2;80.6;106.6;0;90.3;31.9
2438N1139700O;;;;;;;;;;;;;;;
Bâtiment C;;;;;;;;;;;;;;;
"65 avenue de Claix""";;;;;;;1323368.4;;;;;;;;
2238N1674129L;469;287;111;;;;;;;469;287;111;0;42;11
2238N2628486M;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2138N0266073K;;;;;;;;;;;;;;;
250;;;;;;;;;;;;;;;
2338N2372465O;653.6;440.1;213.4;300.2;68.3;0;;;;805;508.5;213.4;0;218.2;13.6
2238N2442844K;617;408;147;;;;;;;617;408;147;0;45;0
2438N1968922S;334.6;136;161.3;334.6;136;161.3;;;;334.6;136;161.3;0;22.1;15.2
2338N1032730H;227.4;129.9;97.6;54.2;2;1.9;;;;281.6;131.9;99.4;0;37.9;12.4
2138N0455372D;;;;;;;;;;;;;;;
"AVENUE DU RIF NEL AMONT""";;;;;;;;;;;;;;;
2438N2263951Z;;;;;;;;;;;;;;;
"Lotissement les Prés Jourdan""";;;;;;;;;;;;;;;
2338N2505229W;703;490;112;;;;;;;703;490;112;0;55;23
2238N3079786E;182.4;48.3;134;81.7;0;0;;;;211;48.3;134;0;44.3;37.5
2338N2192296Z;318.3;154.2;164.1;87.2;0;0;;;;367.2;154.2;164.1;0;87.2;0
2238N0002584G;;;;;;;;;;;;;;;
"Rue Victor Hugo""";;;;;;;;;;;;;;;
2338N2415224D;206.5;82.4;124.1;153.3;0;0;;;;260.8;82.4;124.1;0;136.3;17
2338N3891818F;580;394;186;226;131;4;;;;806;525;190;0;66;7
2338N2434475O;500;306;134;;;;;;;500;306;134;0;43;0
2469N0478541O;523.2;349.2;136.9;;;;;;;523.2;349.2;136.9;0;30.1;7
2438N2152705H;305.8;135.8;170;194.5;0;0;;;;372;135.8;170;0;135.3;59.2
2238N1912727H;406;251.5;154.5;110.9;0;0;;;;451.5;251.5;154.5;0;104.4;6.5
2238N0408304W;379.1;156.8;222.3;201.6;22.3;5.8;;;;484.2;179.1;228.2;0;173.4;0
2138N0740665Y;408;248;98;;;;;;;408;248;98;0;41;5
2238N2175718I;506.8;330;116.5;;;;;;;506.8;330;116.5;0;38.8;21.6
2338N1958916V;516.7;302.5;122.1;;;;;;;516.7;302.5;122.1;34.8;36.6;20.7
2238N0174473J;480.4;205.1;232.7;480.4;205.1;232.7;;;;480.4;205.1;232.7;0;26.6;16
2438N0261040Y;515.7;280.3;235.3;141.3;0;0;;;;568.7;280.3;235.3;0;141.3;0
2238N1217407F;216.4;45.3;171.1;376.2;130.5;1;;;;592.6;175.8;172;84.3;87.3;73.1
2138N0368149K;659.4;407.3;252.1;154.6;0;0;;;;733.3;407.4;252.1;0;154.6;0
2338N2220534B;244.9;106.5;75.4;244.9;106.5;75.4;;;;244.9;106.5;75.4;0;39.7;23.3
2338N4433219I;544.5;330.1;214.4;204.2;6.3;0;;;;622.5;336.4;214.4;0;197.9;0
2238N0408305X;328.8;159.3;169.6;114.5;22.7;4.5;;;;394.7;181.9;174;0;87.4;0
2238N2810032A;334.3;124;210.2;117.1;0;0;;;;374.7;124.1;210.2;0;95.8;21.3
2438N1045238K;390.5;221.5;169;186.6;34.4;0;;;;478.4;255.9;169.1;0;136.1;16
2338N2372470T;356;199.3;156.6;136.3;30.9;0;;;;424.7;230.3;156.6;0;99.2;6.2
2238N3053831X;;;;;;;;;;;;;;;
"ZAC St Hubert""";;;;;;;;;;;;;;;
2238N3025194M;704.1;453.9;172;704.1;453.9;172;;;;704.1;453.9;172;0;55.4;22.8
2338N3263480J;570;404;100;;;;;;;570;404;100;0;42;0
2238N0131437D;496.5;303.9;192.6;206.6;0;0;;;;566.9;303.9;192.6;0;175.6;31
2238N0299745N;403.7;238.6;110.1;;;;;;;403.7;238.6;110.1;0;41.3;13.8
2338N2911192V;546.9;360.8;186.1;263.9;54.3;3;;;;681.7;415.1;189.1;0;182.3;24.3
2338N3983274T;510;356;104;;;;;;;510;356;104;0;35;0
2338N1036226T;372.4;134.4;238;252.6;23.4;5.1;;;;476.2;157.8;243;0;161.4;62.8
2438N3637695H;507.5;255.5;252;76.6;15.8;3;0;0;0;584.1;271.3;255;0;46.7;11.1
2238N2596638O;;;;;;;;;;;;;;;
ALLEE DE LA BATIE;;;;;;;;;;;;;;;
"EMBELLIE ALPES""";;;;;;;;;;;;;;;
2238N2220944U;425.5;260.7;164.8;182.7;0;0;;;;499.1;260.7;164.8;0;182.7;0
2469N0478484J;398.1;209.2;166.6;;;;;;;398.1;209.2;166.6;0;18;4.2
2338N0918249E;;;;;;;;;;;;;;;
"Lotissement le parc des Bouvières""";;;;;;;;;;;;;;;
2238N2862190C;183;183;0;480;285;136;;;;663;468;136;0;42;0
2238N0055592A;;;;;;;;;;;;;;;
"Lot n°22""";;;;;;;;;;;;;;;
2338N1156451U;674;509;165;171;58;3;;;;845;567;168;0;55;34
2338N2192352D;384.4;198.6;185.8;121;0;0;;;;452.2;198.6;185.8;0;121;0
2238N3112085L;226;225.2;0.8;118.9;3.9;0;;;;279;229.1;0.8;0;94.7;20.3
2338N2781539E;387.4;205.6;110;;;;;;;387.4;205.6;110;0;40.6;31.1
2238N0403437R;115.4;0;115.4;261.2;180.8;1.2;;;;356.8;180.8;116.6;14.1;65.1;0
2338N2453850T;646.6;378.6;177.6;;;;;;;646.6;378.6;177.6;0;53.6;36.9
2438N1810600K;462;254;132;;;;;;;462;254;132;0;44;17
2438N1559315P;655.1;351.5;256.8;655.1;351.5;256.8;;;;655.1;351.5;256.8;0;37;9.7
2338N2911223A;547.1;374.1;173;198.4;7.5;4.8;;;;623.6;381.6;177.8;0;141.8;44.3
2338N3871268V;189.2;106.6;82.6;245;83.8;1;;;;359.3;190.4;83.6;0;133.5;26.7
2238N3117641D;209.6;208.7;0.9;247.1;13.3;233.8;112.9;4.5;0;508.3;226.5;234.7;0;92.9;15.5
2238N1526416E;272.3;100.8;171.5;146.8;0;0;;;;332.6;100.8;171.5;0;91.7;55
2338N4082174P;283.4;46.5;81.3;;;;;;;168.9;46.5;81.3;0;83.4;72.3
2338N0799081U;466.7;261.8;204.9;173.8;0;0;;;;527.5;261.8;204.9;0;147.7;26.1
2238N2730012I;459.2;282.7;176.5;190.1;4.9;2.9;;;;534.6;287.6;179.4;0;182.4;0
2238N1124901H;473.2;288.8;184.4;88.9;6.5;3.1;;;;562.1;295.4;187.5;0;38.4;40.9
2438N0791062K;304.6;131.4;173.2;262.8;9.9;0;;;;380.7;141.3;173.2;0;145.9;107
2238N0237612U;431;267;98;;;;;;;431;267;98;0;45;8
2238N3022551V;;;;;;;;;;;;;;;
ILOT NORD;;;;;;;;;;;;;;;
LE GRAND PRE;;;;;;;;;;;;;;;
"ALLEE CHANTOURNES""";;;;;;;;;;;;;;;
2438N3855274S;488.1;175.8;312.2;55.7;12.2;3.7;0;0;0;543.8;188;315.9;0;32.2;7.6
2338N0170617C;194.2;93.5;100.7;113.8;0;0;;;;231.5;93.6;100.7;0;84.1;29.7
2338N3869387M;549.2;232.4;316.8;104.2;10.1;0;;;;585.1;242.5;316.8;0;65.4;28.6
2238N2810026U;346;108.7;237.3;162.2;0;0;;;;402;108.7;237.3;0;132.7;29.5
2138N0056480D;690.5;353.6;256.9;;;;;;;690.5;353.6;256.9;0;53.4;26.7
2338N1017892P;465;268;104;;;;;;;465;268;104;0;56;11
2338N2465722J;246.2;0;246.2;379.5;236.7;0.8;;;;593.5;236.7;247;0;132.6;9.5
2338N3855297O;406.4;240.4;102.7;;;;;;;406.4;240.4;102.7;0;35;28.4
2438N2154435V;241.2;92;149.3;132;0;0;;;;286.2;92;149.3;0;91.8;40.2
2238N0733455R;95.6;95.6;0;204;56.5;0;;;;203.4;152.1;0;0;106.2;41.3
2138N0141574Z;1365.9;866.8;326.7;1365.9;866.8;326.7;;;;1365.9;866.8;326.7;0;125.3;47
2338N0418584H;547.8;312.1;170.4;547.8;312.1;170.4;;;;547.8;312.1;170.4;0;46.3;19.1
2138N0983004R;278.1;97.5;180.6;248.6;8.6;0;;;;365.9;106;180.6;0;149;91.1
2138N1033573Q;889;434;325;;;;;;;889;434;325;0;104;26
2238N2448535H;408;234;110;;;;;;;408;234;110;0;41;5
2238N2322870A;349.8;188.2;161.6;117.7;0;0;;;;391.2;188.2;161.6;0;111.5;6.2
2238N2743925L;;;;;;;;;;;;;;;
ZAC éco-quartier;;;;;;;;;;;;;;;
"166 allée du Parc""";;;;;;;;;;;;;;;
2374N3186236V;535;268.9;266.1;80;1.9;1;;;;615;270.8;267.1;0;40.5;36.6
2238N2470502E;472.5;163.7;256.3;472.5;163.7;256.3;;;;472.5;163.7;256.3;0;39.3;13.1
2138N0964949G;495;298;115;;;;;;;495;298;115;0;52;7
2238N1368891N;563.3;404.4;158.9;89.5;6.1;3.7;0;0;0;714.1;455;180;0;48.9;30.2
2338N1773277W;577;379;106;;;;;;;577;379;106;0;53;21
2238N3079734E;189.5;52.7;136.8;86.9;0;0;;;;219.9;52.7;136.8;0;47.1;39.8
2438N2218070I;506.7;322.5;184.2;171.7;0;0;;;;565.3;322.5;184.2;0;171.7;0
2338N3202361Q;340;175.2;164.8;237.5;44;0;;;;448.3;219.2;164.8;0;158.3;35.2
2338N1106274X;677;421;138;;;;;;;677;421;138;0;54;37
2338N3849436D;430;257;118;;;;;;;430;257;118;0;35;6
2238N2321951R;509.2;338;111.2;;;;;;;509.2;338;111.2;0;34.1;26
2438N2331227N;200.4;200.4;0;58.8;0.8;15.5;;;;259.2;201.2;15.5;0;24.4;18
2238N1217335L;217.3;46.2;171.1;377.8;132.7;1;;;;595.1;179;172;84.1;87.1;72.9
2338N0514914H;435.6;247.8;127.8;;;;;;;435.6;247.8;127.8;0;42.6;17.4
2238N2291255B;345.8;171.2;174.6;207.7;43.8;0;;;;444.5;215;174.6;0;109.3;54.6
2238N0650873L;452.3;280.3;172;136.1;0;0;;;;512.8;280.3;172;0;136.1;0
2338N2651698H;582;415;101;;;;;;;582;415;101;0;45;3
2238N2475312E;368.2;111.2;221.4;368.2;111.2;221.4;;;;368.2;111.2;221.4;0;26.7;8.9
2138N0749409G;481;289;106;;;;;;;481;289;106;0;43;25
2138N0345823S;510.3;291.7;218.6;74.3;8;6.3;;;;591.2;299.7;224.9;0;59.9;0
2238N2283665D;;;;;;;;;;;;;;;
"Le Bourg""";;;;;;;1269141.6;;;;;;;;
2138N0895433O;;;;;;;;;;;;;;;
"Avenue de la Muzelle""";;;;;;;;;;;;;;;
2138N0756052T;597.9;275.6;242.3;597.9;275.6;242.3;;;;597.9;275.6;242.3;0;44.5;35.6
2138N0354134J;319.2;165.5;118.6;319.2;165.5;118.6;;;;319.2;165.5;118.6;0;25.5;9.6
2338N4152847U;531.6;337.4;194.2;192.3;8.1;0;;;;605;345.5;194.2;0;184.2;0
2338N0652380L;491.9;268.1;169.3;;;;;;;491.9;268.1;169.3;0;34.3;20.2
2338N3511913M;616.6;428.7;187.8;144.6;66.1;4.8;;;;761.2;494.9;192.7;0;49.1;24.5
2138N0776750V;190;190;0;415;222;136;;;;605;412;136;0;43;0
2238N1692935T;698.6;445.8;164.8;698.6;445.8;164.8;;;;698.6;445.8;164.8;0;69;19.2
2338N3714817M;600.3;416.3;184;184.4;0;0;;;;667.2;416.3;184;0;172.9;11.5
2138N0565859Q;412.7;211.7;155.5;412.7;211.7;155.5;;;;412.7;211.7;155.5;0;31;14.6
2338N1861068L;531.3;156;205.6;;;;;;;531.3;156;205.6;0;52;117.7
2238N1387306U;173;173;0;426;221;151;;;;599;394;151;0;40;0
2138N0346789W;452.6;199.1;253.6;199.1;0;5.6;;;;543.3;199.1;259.1;0;145.1;48.4
2338N2372488L;412.8;231.4;181.4;165;31.3;0;;;;492;262.6;181.4;0;125.8;7.9
2438N0856838G;393;200;131;;;;;;;393;200;131;0;37;4
2238N3086945N;501.8;301.1;142.4;;;;;;;501.8;301.1;142.4;0;42;16.3
2338N0052893G;598;434;111;;;;;;;598;434;111;0;34;6
2438N1135011F;;;;;;;;;;;;;;;
Bâtiment B;;;;;;;;;;;;;;;
"71 avenue de Claix""";;;;;;;1227475.4;;;;;;;;
2238N1260534Y;786;441;258;;;;;;;786;441;258;0;65;22
2469N0478355K;459.5;299.2;128.5;;;;;;;459.5;299.2;128.5;0;25.8;6
2338N1156241S;526.6;347.6;121.1;;;;;;;526.6;347.6;121.1;0;42.1;15.8
2238N1449247D;1785;363;1422;1261;0;0;;;;3046;363;1422;0;330;19
2238N1155494Y;464.1;276.2;187.8;169.8;5.6;5.2;;;;532.6;281.8;193;0;159;0
2238N2036586C;555.7;286.6;269;697.7;336.8;3;;;;992.3;623.5;272;0;220.2;137.6
2438N0844429Z;440;260;111;;;;;;;440;260;111;0;43;7
2338N0996247C;321.7;164.7;157.1;281.4;0;0;;;;408;164.7;157.1;0;183.5;97.9
2238N2164886S;427.1;215.7;211.3;198.2;0;0;;;;505.3;215.8;211.3;0;134.8;63.4
2238N0526335N;434.1;240.1;194;174.5;0;0;;;;496.6;240.1;194;0;174.5;0
2238N2852627H;395.2;216.6;178.7;149.2;0;0;;;;448.7;216.6;178.7;0;149.2;0
2138N0648633G;441.7;243.8;198;160;5;0;;;;503.5;248.7;198;0;146.8;8.2
2238N0402789T;136.6;0;136.6;346.7;230;1.4;;;;454.6;230;138.1;20.6;94.6;0
2238N0147056W;460.3;170.9;134;;;;;;;359.3;170.9;134;0;118.3;37
2138N0575025E;342.5;158;184.5;151.9;29;47.2;;;;452.3;187;231.7;0;67.3;8.4
2238N0772472I;348.1;348.1;0;155;0;0;;;;411.5;348.1;0;0;145.9;9.1
2238N0637259V;517.2;337.7;179.6;176.5;0;0;;;;589.5;337.7;179.6;0;176.5;0
2338N2144550P;;;;;;;;;;;;;;;
"ROUTE DES FOLATIERES""";;;;;;;;;;;;;;;
2238N1456934U;305.5;163.2;142.3;93.8;0;0;;;;356.3;163.2;142.3;0;93.8;0
2438N1684369J;537.3;271.9;128.6;;;;;;;444.5;271.9;128.6;0;136.8;0
2238N0901126O;190.4;93.6;96.8;79.8;0;0;;;;220.5;93.6;96.8;0;59.9;20
2338N3988101K;229.3;59.9;169.5;94.1;10.6;0;;;;282.6;70.4;169.5;0;83.5;0
2238N3021569B;;;;;;;;;;;;;;;
ILOT NORD;;;;;;;;;;;;;;;
LE GRAND PRE;;;;;;;;;;;;;;;
"ALLEE CHANTOURNES""";;;;;;;;;;;;;;;
2338N3901944R;302.6;101.5;201.2;97;0;0;;;;337.4;101.5;201.2;0;85.6;11.4
2238N0754552C;257.5;257.5;0;455.3;152.1;0;;;;515.1;409.6;0;0;218.4;84.9
2438N1433458Y;206.3;108.5;30.5;;;;;;;158.5;108.5;30.5;0;67.3;0
2338N3958875I;242.4;155.2;87.3;148.8;0;0;;;;320.6;155.2;87.3;0;139.5;9.3
2338N3202281O;251.8;115.1;136.7;148.8;28.9;0;;;;320.6;144;136.7;0;98.1;21.8
2238N1087986M;;;;;;;;;;;;;;;
ZAC DES 7 LAUX;;;;;;;;;;;;;;;
"SITE DE PRAPOUTEL""";;;;;;;1040270.2;;;;;;;;
2238N2671951F;608;412;111;;;;;;;608;412;111;0;42;27
2438N1135023R;;;;;;;;;;;;;;;
Bâtiment B;;;;;;;;;;;;;;;
"71 avenue de Claix""";;;;;;;1098974.9;;;;;;;;
2338N1706598H;463.3;262.3;201;85.8;19.7;0.8;;;;549.1;282;201.8;0;41.2;24.1
2438N1160374S;500;342;94;;;;;;;500;342;94;0;36;14
2238N1642094I;403.1;213.4;189.6;137.5;0;0;;;;461.7;213.4;189.6;0;137.5;0
2238N2664624K;196.8;56;140.8;114.2;1.6;4.3;;;;241.1;57.6;145;0;96.3;12
2438N1112117R;280;97.6;182.4;178.2;0;0;;;;342.5;97.6;182.4;0;126.2;52
2438N1111826M;245.4;98.4;146.9;109.4;0;0;;;;283.7;98.4;146.9;0;77.5;31.9
2438N1135045N;;;;;;;;;;;;;;;
Bâtiment B;;;;;;;;;;;;;;;
"71 avenue de Claix""";;;;;;;1369964.3;;;;;;;;
2238N2470511N;368.2;111.2;221.4;368.2;111.2;221.4;;;;368.2;111.2;221.4;0;26.7;8.9
2338N2339289O;550.3;234.8;315.4;196;0;0;;;;617.9;234.8;315.5;0;174.2;21.8
2238N0526166A;338.2;162;176.2;144.8;0;0;;;;391.9;162;176.2;0;144.8;0
2338N0906312B;255;150.3;104.7;99.7;2.3;1.7;;;;370.1;152.6;106.4;0;80.6;15.1
2338N3070421A;569;329;155;;;;;;;569;329;155;0;58;27
2338N3569702D;641.1;409.8;164.2;641.1;409.8;164.2;;;;641.1;409.8;164.2;0;44.7;22.4
2238N1463447H;385.9;173;212.9;260.3;0;0;;;;492.9;173;212.9;0;162.7;97.6
2238N1417453H;;;;;;;;;;;;;;;
"Opération Coeur de Village""";;;;;;;1016853.3;;;;;;;;
2438N1023165L;610.9;396.9;120.8;;;;;;;610.9;396.9;120.8;0;55.2;38
2238N0325941B;;;;;;;;;;;;;;;
"Lotissement Terriez""";;;;;;;;;;;;;;;
2238N1727379N;253;112.2;140.9;282.8;0;0;;;;345.3;112.2;140.9;0;159.1;123.7
2138N0230957U;243.6;60.7;182.9;43.6;0;0;;;;298.7;60.7;182.9;0;36.7;6.9
2338N0729538B;460.2;291.8;168.4;163;0;0;;;;523.3;291.8;168.4;0;153.9;9.1
2138N0483832T;227.2;139.8;87.4;128.4;0;0;;;;316.3;139.8;87.4;0;122.3;6.1
2138N0894200D;;;;;;;;;;;;;;;
"Avenue de la Muzelle""";;;;;;;;;;;;;;;
2138N0755986F;595.3;268.8;244.7;595.3;268.8;244.7;;;;595.3;268.8;244.7;0;45.5;36.4
2238N1314470K;514.6;246;268.6;152.5;0;0;;;;568.6;246;268.6;0;135.6;16.9
2238N0476674M;641.3;435.1;206.2;143.8;4.9;2.3;;;;698.9;440;208.5;0;111.7;24.8
2338N0145759A;338;198.6;139.5;240.2;0;0;;;;416.8;198.6;139.5;0;177.6;62.7
2438N1793130M;537;370;99;;;;;;;537;370;99;11;41;0
2238N0476694G;1017.6;765.7;251.9;247.7;8.7;2.8;;;;1116.3;774.4;254.7;0;193.3;42.9
2338N4152814N;315.1;157.6;157.5;109.3;3.8;0;;;;356.3;161.4;157.5;0;105.5;0
2338N0206017Q;424;223;96;;;;;;;424;223;96;36;43;7
2438N1562478G;682.2;360.1;269.4;682.2;360.1;269.4;;;;682.2;360.1;269.4;0;42.5;10.1
2238N0449428O;454;241.5;212.5;170.1;0;0;;;;513.9;241.5;212.5;0;152.2;17.9
2238N1069717V;497.8;334.3;96.6;;;;;;;497.8;334.3;96.6;0;45.6;21.2
2338N3146832X;581;394.1;186.9;244.9;0;0;;;;681.3;394.1;186.9;0;230.5;14.4
2338N3871423U;238.1;147.7;90.4;318.6;116.1;1.1;;;;462.4;263.8;91.5;0;167.8;33.6
2338N3255296P;389.4;211.4;108.5;;;;;;;389.4;211.4;108.5;0;47.3;22.3
2238N1932645J;417.5;257.2;160.3;118.1;4.5;2.3;;;;464.2;261.7;162.6;0;111.3;0
2238N2641840C;;;;;;;;;;;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;;;;;;;;;;;
