numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
"RUE DES ECOLES""";;;;;;;1170007.1;;;;;;;;
2138N0773721I;;;;;;;;;;;;;;;
"Rue Gay""";;;;;;;;;;;;;;;
2238N2852653H;262.6;113.6;149;95;0;0;;;;296.6;113.6;149.1;0;95;0
2238N1086583N;;;;;;;;;;;;;;;
ZAC DES 7 LAUX;;;;;;;;;;;;;;;
"SITE DE PRAPOUTEL""";;;;;;;1444669.3;;;;;;;;
2338N1420003K;;;;;;;;;;;;;;;
Lot 5;;;;;;;;;;;;;;;
"68""";;;;;;;;;;;;;;;
2338N4152828B;502.1;294.4;207.7;222.5;7.1;0;;;;585.6;301.5;207.7;0;215.4;0
2238N2283783R;;;;;;;;;;;;;;;
"Le Bourg""";;;;;;;1071359.8;;;;;;;;
2238N1463324O;420.8;178.6;242.2;346.7;0;0;;;;563.3;178.6;242.2;0;216.7;130
2238N0519725H;344.7;120.4;86.4;;;;;;;249.3;120.4;86.4;0;103.5;34.5
2238N3118729Z;104.2;103.8;0.5;146.4;6.6;139.9;60.7;2;0;278.6;112.4;140.3;0;51;7.7
2238N2954774A;703;427;206;;;;;;;703;427;206;0;44;3
2138N0692265K;362.2;201.9;160.4;96.3;0;0;;;;397.2;201.9;160.4;0;81.8;14.4
2438N2217801Z;373.9;192.1;181.8;166;0;0;;;;430.5;192.1;181.8;0;166;0
2338N2415232L;224.8;102.1;122.6;148.4;0;0;;;;277.4;102.1;122.6;0;131.9;16.5
2238N1912907F;465.9;283;182.8;177.7;0;0;;;;538.6;283;182.8;0;167.3;10.5
2338N0099308L;505;335;106;;;;;;;505;335;106;0;42;5
2238N1217307J;206.8;33.3;173.5;359.7;99;1;;;;566.5;132.3;174.5;89.4;92.7;77.6
2238N2628472Y;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2438N0057501N;468.4;195.1;166.8;;;;;;;468.4;195.1;166.8;0;63.9;42.6
2238N2898749F;552.2;256.5;235.8;552.2;256.5;235.8;;;;552.2;256.5;235.8;0;42.4;17.5
2338N0924603O;;;;;;;;;;;;;;;
" Rue De L'eglise""";;;;;;;;;;;;;;;
2438N0429564Q;545;316;143;;;;;;;545;316;143;0;54;32
2238N1394041V;301.9;114.2;146;301.9;114.2;146;;;;301.9;114.2;146;0;25.4;16.3
2438N1968956A;355.9;150.3;166.1;355.9;150.3;166.1;;;;355.9;150.3;166.1;0;23.4;16.1
2138N0306928T;;;;;;;;;;;;;;;
"10 Boulevard des Frères Desaire""";;;;;;;;;;;;;;;
2338N1680764R;;;;;;;;;;;;;;;
Bâtiment C;;;;;;;;;;;;;;;
"65 avenue de Claix""";;;;;;;;;;;;;;;
2338N3068820L;473.8;315.9;97.4;;;;;;;473.8;315.9;97.4;0;44.8;15.8
2238N1086571B;;;;;;;;;;;;;;;
ZAC DES 7 LAUX;;;;;;;;;;;;;;;
"SITE DE PRAPOUTEL""";;;;;;;1089416.8;;;;;;;;
2238N0901124M;192.3;94.6;97.7;80.6;0;0;;;;222.7;94.6;97.7;0;60.5;20.2
2338N4363675O;704.6;461.9;160.5;704.6;461.9;160.5;;;;704.6;461.9;160.5;0;49.3;32.9
2138N0858633E;598;464.9;133;130.5;0;0;;;;651.6;465;133;0;122.8;7.7
2238N1932694G;437.1;276.8;160.3;118.9;4.4;2.3;;;;484;281.3;162.6;0;112.1;0
2238N1463376O;270.9;99.4;171.5;146.8;0;0;;;;331.2;99.3;171.5;0;91.7;55
2338N3202347C;354.5;168.8;185.8;301.5;42.4;0;;;;483;211.2;185.8;0;212;47.1
2238N2614419L;897;554;213;;;;;;;897;554;213;0;90;40
2338N1847393M;303.3;127.2;176.1;125.2;0;0;;;;345.3;127.2;176.1;0;105.4;19.8
2469N0478514N;461.6;300.8;128.7;;;;;;;461.6;300.8;128.7;0;25.9;6.1
2338N0799135W;494.8;267;227.9;228.1;0;0;;;;574.6;267;227.9;0;193.9;34.2
2238N0547122A;336.3;161.3;174.9;134.6;0;0;;;;384.5;161.3;174.9;0;134.6;0
2238N0198208G;372.3;231.3;141;106.7;0;0;;;;426.4;231.3;141;0;106.7;0
2238N1526569B;236.1;84.2;152;114.5;0;0;;;;283.2;84.2;152;0;71.5;42.9
2138N0635795M;568;393;109;;;;;;;568;393;109;0;49;3
2438N1065519L;541;369;102;;;;;;;541;369;102;0;43;5
2338N0728537O;427.6;255.1;172.6;194.2;0;0;;;;500.5;255.1;172.6;0;182.8;11.4
2138N0783387C;340;340;0;319;53;161;;;;659;393;161;0;54;16
2238N2265088Q;149.6;4.4;145.2;199.5;67.2;0;;;;275.8;71.6;145.2;0;100.5;31.7
2238N2404303B;609;428;120;;;;;;;609;428;120;0;40;0
2338N2133838P;790.7;568.8;221.9;464.5;160.5;0;;;;1057;729.3;221.9;0;258.4;45.6
2138N0531943E;6078;3393;2685;895;103;69;;;;6973;3496;2754;0;585;0
2238N3118626A;188.2;187.1;1;238.6;11.4;227.2;111.3;3.2;0;476.2;201.7;228.2;0;96.7;11.4
2238N1217494O;203.7;31.9;171.7;354.1;95.9;1;;;;557.7;127.8;172.7;88.6;91.8;76.8
2238N1312749F;455.6;272.8;182.7;158;5.5;5;;;;524;278.3;187.8;0;147.5;0
2238N1966037R;699.8;293.5;203.4;699.8;293.5;203.4;;;;699.8;293.5;203.4;0;66.5;136.4
2238N0327168G;484.6;272.6;212;221.4;2.9;1.8;;;;605.2;275.5;213.8;0;135.4;81.2
2238N0402691Z;128.6;0;128.6;309.7;206.8;1.3;;;;413;206.8;130;18.1;83.5;0
2238N0999957T;554.4;359;111.7;;;;;;;554.4;359;111.7;0;63.8;19.9
2238N0467905F;2085.8;1208.8;655.5;2085.8;1208.8;655.5;2085.8;1208.8;655.5;2085.8;1208.8;655.5;0;131.3;90.2
