numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2238N0901049P;20 Rue Monge 38100 Grenoble;20;Rue Monge;Grenoble;38100;38185;38;84;38185_5090_00020;914598.37;6457026.99;adresse non géocodée ban car aucune correspondance trouvée;20 Rue Monge;GRENOBLE;38100
2238N2744053J;166 allee du parc 38920 Crolles;166;allee du parc;Crolles;38920;38140;38;84;38140_0497_00166;926175.35;6469332.59;adresse géocodée ban à l'adresse;Bâtiment C 1;;
ZAC éco-quartier;;;;;;;;;;;;;;;
"166 allée du Parc""";;5669.3;74;3640.8;1138.8;0;381.3;508.4;5154.5;67;3628.8;0;165.8;221;169.1
2138N0230853U;Rue Alphonse Daudet 38400 Saint-Martin-d'Hères;;Rue Alphonse Daudet;Saint-Martin-d'Hères;38400;38421;38;84;38421_0036;917324.32;6456950.39;adresse non géocodée ban car aucune correspondance trouvée;ZAC DAUDET ILOT A3 ANETH RUE ALPHONSE DAUDET;SAINT MARTIN D'HERES;38400
2238N0580631V;249 Rue de la Convention 38670 Chasse-sur-Rhône;249;Rue de la Convention;Chasse-sur-Rhône;38670;38087;38;84;38087_0198_00249;841148.74;6499080.71;adresse non géocodée ban car aucune correspondance trouvée;221, 249 rue de la Convention;CHASSE-SUR-RHONE;38670
2138N0655501K;Rue Marcel Reynaud 38920 Crolles;;Marcel Reynaud;Crolles;38920;38140;38;84;38140_0455;926131.3;6468161.76;adresse géocodée ban à l'adresse;Marcel Reynaud;Crolles;38920
2438N1446968O;Route de Grenoble 38590 Saint-Étienne-de-Saint-Geoirs;;Route de Grenoble;Saint-Étienne-de-Saint-Geoirs;38590;38384;38;84;38384_0156;884369.83;6474291.16;adresse non géocodée ban car aucune correspondance trouvée;Route de Grenoble;SAINT-ETIENNE-DE-SAINT-GEOIRS;38590
2438N3987154A;Route du Vernon 38410 Vaulnaveys-le-Haut;;Route du Vernon;Vaulnaveys-le-Haut;38410;38529;38;84;38529_0661;922585.04;6451297.63;adresse non géocodée ban car aucune correspondance trouvée;1491 route du Vernon;VAULNAVEYS-LE-HAUT;38410
2438N2263007R;Rue Pierre Vincendon 38110 La Tour-du-Pin;;Rue Pierre Vincendon;La Tour-du-Pin;38110;38509;38;84;38509_0750;890281.32;6499276.63;adresse géocodée ban à l'adresse;Rue Pierre Vincendon;LA TOUR DU PIN;38110
