numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2438N1482747R;Rue des Amours 38140 Rives;;Rue des Amours;Rives;38140;38337;38;84;38337_0070;896371.94;6475474.71;adresse non géocodée ban car aucune correspondance trouvée;Rue des Amours;RIVES;38140
2238N3151543B;Rue de Belle-Rive 38300 Bourgoin-Jallieu;;Rue de Belle-Rive;Bourgoin-Jallieu;38300;38053;38;84;38053_0075;878509.13;6502142.02;adresse non géocodée ban car aucune correspondance trouvée;LOTIST LE HAMEAU DE BELLE RIVE - N°38 - RUE DE BEL;BOURGOIN JALLIEU;38300
2238N2898557V;Boulevard de Saint-hubert 38080 L'Isle-d'Abeau;;Boulevard de Saint-hubert;L'Isle-d'Abeau;38080;38193;38;84;38193_0265;873203.87;6504960.12;adresse non géocodée ban car aucune correspondance trouvée;Rue Stéphane Hessel / Boulevard Saint Hubert / Avenue Henri Bergson;L ISLE D ABEAU, France;38080
2138N0729041W;rue jeanne d'arc 38230 Charvieu-Chavagneux;;rue jeanne d'arc;Charvieu-Chavagneux;38230;38085;38;84;38085_0032;867666.47;6519179.08;adresse non géocodée ban car aucune correspondance trouvée;rue Jeanned'ARC;CHARVIEU-CHAVAGNEUX;38230
2338N0381916Z;Rue du Lac 38070 Saint-Quentin-Fallavier;;;Saint-Quentin-Fallavier;38070;38449;38;84;38449_0250;864693.5;6505548.88;adresse géocodée ban à l'adresse;Rue du Lac;SAINT-QUENTIN-FALLAVIER;38070
2138N0101379A;Impasse Jeanne Madeleine 38570 Goncelin;;Impasse Jeanne Madeleine;Goncelin;38570;38181;38;84;38181_0224;933398.65;6475583.35;adresse non géocodée ban car aucune correspondance trouvée;Lotist 'L'Orée des Vignes' - N°8 Impasse du Jeanne Madeleine;GONCELIN;38570
2238N2358071X;Cours Liberation Gal de Gaulle 38100 Grenoble;;Cours Liberation Gal de Gaulle;Grenoble;38100;38185;38;84;38185_4380;913051.64;6455911.17;adresse non géocodée ban car aucune correspondance trouvée;Cours de la Libération;GRENOBLE;38100
2338N0924609U;Rue de lâ€ Eglise 38200 Seyssuel;;Rue de lâ€ Eglise;Seyssuel;38200;38487;38;84;38487_0040;844149.16;6497300.48;adresse géocodée ban à l'adresse;BAT B;;
" Rue De L'eglise""";;3815.7;60;1690.6;1727;0;311.5;86.5;3547.3;56;1670.6;0;135.5;37.6;772.5
2338N0336415Y;4 Avenue du Docteur Carrier 38160 Saint-Marcellin;4;Avenue du Docteur Carrier;Saint-Marcellin;38160;38416;38;84;38416_0480_00004;882074.52;6453188.38;adresse non géocodée ban car aucune correspondance trouvée;4 Avenue Docteur Carrier;SAINT-MARCELLIN;38160
2238N2729995R;17 Chemin du Marais 38100 Grenoble;17;Chemin du Marais;Grenoble;38100;38185;38;84;38185_4670_00017;916105.06;6456593.6;adresse non géocodée ban car aucune correspondance trouvée;17 chemin du Marais;GRENOBLE;38000
2338N3992758N;Rue George Sand 38500 Voiron;;Rue George Sand;Voiron;38500;38563;38;84;38563_0660;902311.28;6477290.9;adresse non géocodée ban car aucune correspondance trouvée;Rue George Sand;Voiron;38500
2138N0482950V;Avenue de la Libération 38290 La Verpillière;;Avenue de la Libération;La Verpillière;38290;38537;38;84;38537_0120;866404.07;6506903.6;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la Libération;LA VERPILLIERE;38290
2338N1847365K;Route de Voiron 38430 Moirans;;Route de Voiron;Moirans;38430;38239;38;84;38239_0520;900209.67;6473136.54;adresse non géocodée ban car aucune correspondance trouvée;La Guillonière, Route de Voiron;MOIRANS;38430
2338N1062535Q;Route de Polienas 38210 Tullins;;Route de Polienas;Tullins;38210;38517;38;84;38517_0537;894729.02;6468837.24;adresse non géocodée ban car aucune correspondance trouvée;Route de Poliénas Lieu-dit Lot 2;TULLINS;38210
2138N0895925M;Avenue de la Muzelle (Mont-de-Lans) 38860 Les Deux Alpes;;;Les Deux Alpes;38860;38253;38;84;38253_0020;946035.47;6439892.01;adresse géocodée ban à l'adresse;Résidence La Restanque ;;
"Avenue de la Muzelle""";;5352.2;139;3517.6;1443.9;0;221.3;169.3;4778.2;124;3164.4;0;96.2;73.6;587.9
2338N2465708V;Avenue Francois Mitterrand 38500 Voiron;;Avenue Francois Mitterrand;Voiron;38500;38563;38;84;38563_1380;902952.48;6477107.14;adresse non géocodée ban car aucune correspondance trouvée;Avenue François Mitterrand / Rue du Mail;VOIRON;38500
2338N2372464N;Route de Lyon 38140 Apprieu;;Route de Lyon;Apprieu;38140;38013;38;84;38013_0729;894604.6;6480929.67;adresse non géocodée ban car aucune correspondance trouvée;Route de Lyon;APPRIEU;38140
2338N2720620D;Place du Platre 38460 Crémieu;;Place du Platre;Crémieu;38460;38138;38;84;38138_0458;875094.19;6516572.24;adresse géocodée ban à l'adresse;Place du Plâtre;CREMIEU;38460
2238N1395109X;2 Rue de l'Atlas 38130 Échirolles;2;Rue de l'Atlas;Échirolles;38130;38151;38;84;38151_0048_00002;912017.5;6453731;adresse géocodée ban à l'adresse;2 rue de l'ATLAS;ECHIROLLES, France;38130
2438N1482717N;Rue des Amours 38140 Rives;;Rue des Amours;Rives;38140;38337;38;84;38337_0070;896371.94;6475474.71;adresse non géocodée ban car aucune correspondance trouvée;Rue des Amours;RIVES;38140
2338N0790941S;Chemin des Evequaux 38330 Biviers;;Chemin des Evequaux;Biviers;38330;38045;38;84;38045_0220;920701.49;6463995.86;adresse non géocodée ban car aucune correspondance trouvée;Chemin des Evequaux;BIVIERS;38330
2138N1042964V;Avenue de la Republique 38090 Villefontaine;;Avenue de la Republique;Villefontaine;38090;38553;38;84;38553_0710;867925.78;6503673.27;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la République;VILLEFONTAINE;38090
2238N2291326U;Chemin des Vignes 38140 Rives;;Chemin des Vignes;Rives;38140;38337;38;84;38337_0340;895462.74;6475306.33;adresse non géocodée ban car aucune correspondance trouvée;Chemin des vignes;RIVES;38140
2238N2855377B;Avenue Jules Valles 38100 Grenoble;;Avenue Jules Valles;Grenoble;38100;38185;38;84;38185_4075;915988.51;6457233.74;adresse non géocodée ban car aucune correspondance trouvée;JULLES VALLES;GRENOBLE;38100
2138N0692215M;Rue des Alpes 38420 Domène;;Rue des Alpes;Domène;38420;38150;38;84;38150_0040;922162.55;6459477.99;adresse non géocodée ban car aucune correspondance trouvée;RUE DES ALPES;DOMENE;38420
2238N2898745B;Boulevard de Saint-hubert 38080 L'Isle-d'Abeau;;Boulevard de Saint-hubert;L'Isle-d'Abeau;38080;38193;38;84;38193_0265;873203.87;6504960.12;adresse non géocodée ban car aucune correspondance trouvée;Rue Stéphane Hessel / Boulevard Saint Hubert / Avenue Henri Bergson;L ISLE D ABEAU, France;38080
2138N0417424P;18c Rue Bayard 38490 Les Abrets en Dauphiné;18c;Rue Bayard;Les Abrets en Dauphiné;38490;38001;38;84;38001_0040_00018_c;902282.5;6496122.34;adresse géocodée ban à l'adresse;18 C rue Bayard;;
Ter 1;;;;;;;;;;;;;;;
Lotissement le Clos du Chevalier;;;;;;;;;;;;;;;
"Lieu dit le Cathiot""";;8381.5;73;5469;2168.2;0;485.4;258.9;3644.1;32;2377.8;0;211.1;112.6;270.9
2238N0944915T;210 Rue General de Gaulle 38330 Montbonnot-Saint-Martin;210;Rue General de Gaulle;Montbonnot-Saint-Martin;38330;38249;38;84;38249_0052_00210;919536.81;6462236.3;adresse géocodée ban à l'adresse;210 Rue General de Gaulle;Montbonnot-Saint-Martin;38330
2338N3988089Y;124 Boulevard des 3 Vallons 38080 L'Isle-d'Abeau;124;Boulevard des 3 Vallons;L'Isle-d'Abeau;38080;38193;38;84;38193_0322_00124;872313.96;6503247.47;adresse non géocodée ban car aucune correspondance trouvée;124 boulevard des Trois Vallons;L'ISLE-D'ABEAU;38080
2238N1727463T;Rue Anatole France 38100 Grenoble;;Rue Anatole France;Grenoble;38100;38185;38;84;38185_0430;912785.29;6456253.18;adresse non géocodée ban car aucune correspondance trouvée;Rue Anatole France;GRENOBLE;38000
2238N3053838E;Avenue Henri Bergson 38080 L'Isle-d'Abeau;;;L'Isle-d'Abeau;38080;38193;38;84;38193_0142;872812.71;6504854.02;adresse géocodée ban à l'adresse;21, Avenue Bergson;;
"ZAC St Hubert""";;3528.2;79;1911.3;1335.2;0;201.2;80.5;3353.9;75;1904.4;0;87.5;35;740
2238N2265084M;Route de la Plaine 38230 Chavanoz;;Route de la Plaine;Chavanoz;38230;38097;38;84;38097_0456;869850.75;6520059.46;adresse non géocodée ban car aucune correspondance trouvée;Route de la Plaine;Chavanoz;38230
2238N2522515R;Chemin du Luminaire 38110 Saint-Victor-de-Cessieu;;Chemin du Luminaire;Saint-Victor-de-Cessieu;38110;38464;38;84;38464_0580;886167.42;6496890.12;adresse non géocodée ban car aucune correspondance trouvée;Chemin du luminaire;SAINT-VICTOR-DE-CESSIEU;38110
2338N1982156R;191 Route de Grenoble 38510 Morestel;191;Route de Grenoble;Morestel;38510;38261;38;84;38261_0017_00191;892380.26;6510936.36;adresse non géocodée ban car aucune correspondance trouvée;191 Route de Grenoble;MORESTEL;38510
2338N1420217Q;Route d'Autrans 38112 Autrans-Méaudre en Vercors;;Route d'Autrans;Autrans-Méaudre en Vercors;38112;38225;38;84;38225_0270;898537.53;6452424.9;adresse non géocodée ban car aucune correspondance trouvée;755 ROUTE DE LA SURE;AUTRANS;38112
2338N1847383C;Route de Voiron 38430 Moirans;;Route de Voiron;Moirans;38430;38239;38;84;38239_0520;900209.67;6473136.54;adresse non géocodée ban car aucune correspondance trouvée;La Guillonière, Route de Voiron;MOIRANS;38430
2338N0263029K;Rue du Louvasset 38500 Voiron;;Rue du Louvasset;Voiron;38500;38563;38;84;38563_0960;901284.01;6477457.02;adresse géocodée ban à l'adresse;Rue du Louvasset;VOIRON;38500
2238N1526555N;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;877742.44;6501316.03;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2238N2358105F;Cours Liberation Gal de Gaulle 38100 Grenoble;;Cours Liberation Gal de Gaulle;Grenoble;38100;38185;38;84;38185_4380;913051.64;6455911.17;adresse non géocodée ban car aucune correspondance trouvée;Cours de la Libération;GRENOBLE;38100
2238N0418958Q;Rue des Alpes 38540 Heyrieux;;Rue des Alpes;Heyrieux;38540;38189;38;84;38189_0023;861486.02;6505868.97;adresse non géocodée ban car aucune correspondance trouvée;Rue des Alpes;HEYRIEUX;38540
2238N1820041L;Chemin des Vernes 38250 Lans-en-Vercors;;;Lans-en-Vercors;38250;38205;38;84;38205_0500;903122.58;6451285.23;adresse géocodée ban à l'adresse;CHEMIN DES VERNES;LANS EN VERCORS;38250
2338N3871584Z;Route de l’Altiport 38750 Huez;;Route de l’Altiport;Huez;38750;38191;38;84;38191_0005;942549.46;6448139.79;adresse non géocodée ban car aucune correspondance trouvée;Route de l'Altiport;ALPE D'HUEZ;38750
2238N1626908G;Avenue des Plantations 38350 La Mure;;Avenue des Plantations;La Mure;38350;38269;38;84;38269_0510;920127.29;6425999.04;adresse non géocodée ban car aucune correspondance trouvée;Avenue des plantations;LA MURE;38350
2338N2342706Z;Chemin du Bessey 38590 Brézins;;Chemin du Bessey;Brézins;38590;38058;38;84;38058_0020;880730.64;6473666.39;adresse non géocodée ban car aucune correspondance trouvée;LIEU DIT DE BESSEY - LOT A;BREZINS;38590
2238N3111955L;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;941407.24;6447891.97;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2338N0527622B;Route de Saint Chef 38110 Saint-Jean-de-Soudain;;Route de Saint Chef;Saint-Jean-de-Soudain;38110;38401;38;84;38401_0650;889482.31;6499947.39;adresse non géocodée ban car aucune correspondance trouvée;Route de Saint-Chef - Lot 3;SAINT-JEAN-DE-SOUDAIN;38110
2338N0343218P;Notre-Dame-de-Vaulx;;;Notre-Dame-de-Vaulx;38144;38280;38;84;38280;916531.03;6435651.23;adresse non géocodée ban car aucune correspondance trouvée;Le Village;NOTRE DAME DE VAULX;38144
2338N4178563W;2bis Rue Julian Grimau 38150 Roussillon;2bis;Rue Julian Grimau;Roussillon;38150;38344;38;84;38344_0630_00002_bis;841046.05;6476029.3;adresse non géocodée ban car aucune correspondance trouvée;2 bis, Rue Julian Grimau;ROUSSILLON;38150
2138N0726598X;Rue Paul Rossat 38140 Apprieu;;Rue Paul Rossat;Apprieu;38140;38013;38;84;38013_0900;895158.69;6478777.61;adresse non géocodée ban car aucune correspondance trouvée;Rue Paul Rossat - Le Rivier;APPRIEU;38140
2238N1155475F;Boulevard Franklin Roosevelt 38500 Voiron;;Boulevard Franklin Roosevelt;Voiron;38500;38563;38;84;38563_0550;903098.64;6476981.16;adresse non géocodée ban car aucune correspondance trouvée;Boulevard Franklin Roosevelt et Denfert Rochereau;Voiron;38500
2238N0327152Q;Rue de la Résistance 38170 Seyssinet-Pariset;;Rue de la Résistance;Seyssinet-Pariset;38170;38485;38;84;38485_0580;910942.52;6456969.96;adresse non géocodée ban car aucune correspondance trouvée;13/15/17 Rue de la résistance;SEYSSINET-PARISET;38170
2238N0402625L;Avenue Frederic Joliot Curie 38130 Échirolles;;Avenue Frederic Joliot Curie;Échirolles;38130;38151;38;84;38151_0160;914846.59;6453096.7;adresse non géocodée ban car aucune correspondance trouvée;AVENUE FREDERIC JOLIOT CURIE;ECHIROLLES;38130
2238N1495374G;Avenue Charles de Gaulle 38800 Le Pont-de-Claix;;Avenue Charles de Gaulle / Rue de la Paix;Le Pont-de-Claix;38800;38317;38;84;38317_0175;912890.93;6452277.27;adresse géocodée ban à l'adresse;Avenue Charles de Gaulle / Rue de la Paix;Le Pont-de-Claix;38800
2338N2192385K;15 Chemin du Chapitre 38100 Grenoble;15;Chemin du Chapitre;Grenoble;38100;38185;38;84;38185_1390_00015;915165.69;6456607.6;adresse non géocodée ban car aucune correspondance trouvée;15 chemin du Chapitre;Grenoble;38100
2238N0952209H;Rue des Sources 38920 Crolles;;Rue des Sources;Crolles;38920;38140;38;84;38140_0604;926645.59;6467892.86;adresse géocodée ban à l'adresse;Rue des Sources;Crolles;38920
2138N0622661I;Rue du Bourg 38800 Champagnier;;Rue du Bourg;Champagnier;38800;38068;38;84;38068_0014;914563.6;6449460.14;adresse non géocodée ban car aucune correspondance trouvée;Rue du 19 mars 1962;CHAMPAGNIER;38800
2438N0009266I;Rue Marthe Cornu 38160 Saint-Marcellin;;Rue Marthe Cornu;Saint-Marcellin;38160;38416;38;84;38416_0835;882415.72;6450313.35;adresse non géocodée ban car aucune correspondance trouvée;rue Marthe-Cornu Les Plantées;ST MARCELLIN;38160
2238N1217367R;Avenue de la Republique 38090 Villefontaine;;;Villefontaine;38090;38553;38;84;38553_0710;867925.78;6503673.27;adresse géocodée ban à l'adresse;de la Republique;VILLEFONTAINE;38090
2438N2281867B;Rue François Frandaz 38290 La Verpillière;;Rue François Frandaz;La Verpillière;38290;38537;38;84;38537_0059;866411.94;6506704.95;adresse géocodée ban à l'adresse;228 rue François Frandaz;LA VERPILLIÈRE;38290
2438N0790820C;Chemin de l’Agnelas 38700 La Tronche;;Chemin de l’Agnelas;La Tronche;38700;38516;38;84;38516_0010;915079.64;6459892.4;adresse non géocodée ban car aucune correspondance trouvée;Rue de l'Agnelas;LA TRONCHE;38700
2238N0751619H;Route de Revel 38420 Domène;;;Domène;38420;38150;38;84;38150_0900;923080.59;6459715.24;adresse géocodée ban à l'adresse;de Revel;DOMÈNE;38420
2438N0964574Y;Chemin Creux 38550 Sablons;;Chemin Creux;Sablons;38550;38349;38;84;38349_0085;839437.94;6470641.65;adresse non géocodée ban car aucune correspondance trouvée;47 Chemin Creux;SABLONS;38550
2238N1464420S;8 Traverse des Aubépines 38450 Vif;8;Traverse des Aubépines;Vif;38450;38545;38;84;38545_0014_00008;909758.8;6442240.06;adresse non géocodée ban car aucune correspondance trouvée;8 Traverse des Aubépines;VIF;38450
2138N0266133S;286 Rue Alfred Buttin 38140 Rives;286;Rue Alfred Buttin;Rives;38140;38337;38;84;38337_0020_00286;896002.81;6475056.21;adresse géocodée ban à l'adresse;LA GLACIERE ;;
250;;;4923;71;1960.7;2259.2;0;435.3;267.8;4525.6;65;2259.2;0;189.3;116.4
2338N3964116X;Route des Charmilles 38490 Aoste;;Route des Charmilles;Aoste;38490;38012;38;84;38012_0105;904470.8;6502444.41;adresse non géocodée ban car aucune correspondance trouvée;Route des Charmilles;AOSTE;38490
2338N1032652H;Boulevard Michel Perret 38210 Tullins;;Boulevard Michel Perret;Tullins;38210;38517;38;84;38517_0405;895064.23;6470247.15;adresse non géocodée ban car aucune correspondance trouvée;Michel Perret;TULLINS;38210
2456N0033325J;21 rue niki de saint-phalle 38400 Saint-Martin-d'Hères;21;rue niki de saint-phalle;Saint-Martin-d'Hères;38400;38421;38;84;38421_0761_00021;917362.86;6457106.54;adresse non géocodée ban car aucune correspondance trouvée;21 Rue Niki de Saint Phalle;BEIGNON;56380
2238N0182384Q;Rue Gustave Flaubert 38100 Grenoble;;Rue Gustave Flaubert;Grenoble;38100;38185;38;84;38185_3380;914328.61;6456241.11;adresse non géocodée ban car aucune correspondance trouvée;Gustave Flaubert;GRENOBLE;38000
2138N0982992F;32b Impasse Charles Bourseul 38340 Voreppe;32b;Impasse Charles Bourseul;Voreppe;38340;38565;38;84;38565_0048_00032_b;906032.1;6470284.86;adresse non géocodée ban car aucune correspondance trouvée;32B impasse charles bourseul;VOREPPE;38340
2338N0790949A;Chemin des Evequaux 38330 Biviers;;Chemin des Evequaux;Biviers;38330;38045;38;84;38045_0220;920701.49;6463995.86;adresse non géocodée ban car aucune correspondance trouvée;Chemin des Evequaux;BIVIERS;38330
2338N3578019A;Rue Paul Mistral 38320 Eybens;;Rue Paul Mistral;Eybens;38320;38158;38;84;38158_0820;916250.89;6453923.95;adresse non géocodée ban car aucune correspondance trouvée;RUE PAUL MISTRAL;EYBENS;38320
2438N1112051D;Rue Thiers 38800 Le Pont-de-Claix;;Rue Thiers;Le Pont-de-Claix;38800;38317;38;84;38317_0480;911955.94;6451205.67;adresse non géocodée ban car aucune correspondance trouvée;ZAC Les Minotiers;PONT DE CLAIX;38800
2238N3025188G;Rue Alfred Buttin 38140 Rives;;;Rives;38140;38337;38;84;38337_0020;895945.42;6475139.05;adresse géocodée ban à l'adresse;Rue Alfred Buttin;RIVES;38140
2238N2919613R;86 Rue Vers Vaulx 38540 Grenay;86;Rue Vers Vaulx;Grenay;38540;38184;38;84;38184_0179_00086;862008.68;6509102.78;adresse non géocodée ban car aucune correspondance trouvée;86 Rue vers Vaulx;GRENAY;38540
2338N2372495S;Route de Lyon 38140 Apprieu;;Route de Lyon;Apprieu;38140;38013;38;84;38013_0729;894604.6;6480929.67;adresse non géocodée ban car aucune correspondance trouvée;Route de Lyon;APPRIEU;38140
2438N2319169T;Rue François Frandaz 38290 La Verpillière;;Rue François Frandaz;La Verpillière;38290;38537;38;84;38537_0059;866411.94;6506704.95;adresse géocodée ban à l'adresse;228 rue François Frandaz;LA VERPILLIÈRE;38290
2338N4363645K;Impasse de la Garenne 38890 Vignieu;;Impasse de la Garenne;Vignieu;38890;38546;38;84;38546_0449;887150.96;6506584.17;adresse géocodée ban à l'adresse;25 impasse de l'Usine;VIGNIEU;38890
2338N1847424R;Route de Voiron 38430 Moirans;;Route de Voiron;Moirans;38430;38239;38;84;38239_0520;900209.67;6473136.54;adresse non géocodée ban car aucune correspondance trouvée;La Guillonière, Route de Voiron;MOIRANS;38430
2238N3031465R;Allee Chantournes 38920 Crolles;;;Crolles;38920;38140;38;84;38140_0179;926450.39;6468584.51;adresse géocodée ban à l'adresse;GROUPE 16038;;
ILOT EST;;;;;;;;;;;;;;;
LE GRAND PRE;;;;;;;;;;;;;;;
"ALLEE CHANTOURNES""";;7022.7;67;3517.3;2699.2;0;444.8;361.4;6567;63;3517.3;0;193.4;157.1;209.9
2238N1202354G;30 Rue de la République 38450 Vif;30;Rue de la République;Vif;38450;38545;38;84;38545_0320_00030;910267.94;6443473.78;adresse non géocodée ban car aucune correspondance trouvée;Lotist Le Clos Savioz-Fouillet N°3 30 rue de la république;VIF;38450
2138N0367275U;Chemin du Barriot 38490 Saint-Ondras;;;Saint-Ondras;38490;38434;38;84;38434_0020;898826.04;6494461.35;adresse géocodée ban à l'adresse;du Barriot;SAINT-ONDRAS;38490
2238N2777036Y;Rue Ampère 38000 Grenoble;;Rue Ampère;Grenoble;38000;38185;38;84;38185_0420;912457.13;6457548.75;adresse non géocodée ban car aucune correspondance trouvée;RUE AMPERE;GRENOBLE;38000
2238N2209420O;Route des Alpes 38260 Saint-Hilaire-de-la-Côte;;Route des Alpes;Saint-Hilaire-de-la-Côte;38260;38393;38;84;38393_0015;881868.2;6479489.37;adresse non géocodée ban car aucune correspondance trouvée;des Alpes;SAINT-HILAIRE-DE-LA-CÔTE;38260
2338N3115918X;Rue Joseph Bouchayer 38100 Grenoble;;Rue Joseph Bouchayer;Grenoble;38100;38185;38;84;38185_3960;912844.6;6456753.16;adresse non géocodée ban car aucune correspondance trouvée;RUE JOSEPH BOUCHAYER;GRENOBLE;38000
2338N3073334B;18 Avenue Maréchal Leclerc 38300 Bourgoin-Jallieu;18;Avenue Maréchal Leclerc;Bourgoin-Jallieu;38300;38053;38;84;38053_0598_00018;877867.02;6501194.31;adresse non géocodée ban car aucune correspondance trouvée;18 Avenue du Maréchal LECLERC;BOURGOIN-JALLIEU;38300
2338N1674235O;Avenue de Claix 38180 Seyssins;;Avenue de Claix;Seyssins;38180;38486;38;84;38486_0350;910601.94;6453856.12;adresse géocodée ban à l'adresse;Résidence Terre Blanche,;;
Bâtiment B;;;;;;;;;;;;;;;
"71 avenue de Claix""";;2676.9;55;1759.1;623.8;0;205.8;88.2;2502.4;51;1750.8;0;89.5;38.3;546.7
2238N2221051X;Chemin du Lot 38670 Chasse-sur-Rhône;;Chemin du Lot;Chasse-sur-Rhône;38670;38087;38;84;38087_0424;841188.69;6499933.85;adresse non géocodée ban car aucune correspondance trouvée;477 Chemin du Lot;CHASSE-SUR-RHONE;38670
2338N3567893O;Rue de la Sône 38160 Saint-Marcellin;;Rue de la Sône;Saint-Marcellin;38160;38416;38;84;38416_1130;881746.64;6452342.12;adresse géocodée ban à l'adresse;Bâtiment B - Résidence Aéllia - Rue de la Sône;ST MARCELLIN;38160
2238N1619253V;Rue de la Cotinière 38920 Crolles;;Rue de la Cotinière;Crolles;38920;38140;38;84;38140_0208;926073.08;6469552.89;adresse non géocodée ban car aucune correspondance trouvée;Eco quartier - secteur 2 - ilot 1a et 1b;Crolles;38920
2338N3315484N;Impasse de la Yette 38150 Roussillon;;Impasse de la Yette;Roussillon;38150;38344;38;84;38344_1178;842075.74;6476374.93;adresse non géocodée ban car aucune correspondance trouvée;IMPASSE DE LA YETTE;ROUSSILLON;38150
2238N2322871B;7 Rue Jean JAURÈS 38490 Saint-André-le-Gaz;7;Rue Jean JAURÈS;Saint-André-le-Gaz;38490;38357;38;84;38357_0210_00007;897629.74;6497221.84;adresse non géocodée ban car aucune correspondance trouvée;7 Rue Jean Jaurès;SAINT-ANDRE-LE-GAZ;38490
2338N0728488R;Avenue de Claix 38180 Seyssins;;Avenue de Claix;Seyssins;38180;38486;38;84;38486_0350;910601.94;6453856.12;adresse non géocodée ban car aucune correspondance trouvée;Avenue de Claix;SEYSSINS;38180
2238N2640323T;Rue Beyle Stendhal 38640 Claix;;Rue Beyle Stendhal;Claix;38640;38111;38;84;38111_0040;910010.51;6450807.26;adresse non géocodée ban car aucune correspondance trouvée;Rue Beyle Stendhal;CLAIX;38640
2238N0733426O;Avenue d'Echirolles 38320 Eybens;;Avenue d'Echirolles;Eybens;38320;38158;38;84;38158_0078;915821.64;6453561.95;adresse non géocodée ban car aucune correspondance trouvée;41 Avenue d'Echirolles;EYBENS;38320
2338N2192392R;15 Chemin du Chapitre 38100 Grenoble;15;Chemin du Chapitre;Grenoble;38100;38185;38;84;38185_1390_00015;915165.69;6456607.6;adresse non géocodée ban car aucune correspondance trouvée;15 chemin du Chapitre;Grenoble;38100
2338N0972649M;31 Allee France Gall 38670 Chasse-sur-Rhône;31;Allee France Gall;Chasse-sur-Rhône;38670;38087;38;84;38087_0020_00031;841420.26;6500134.22;adresse non géocodée ban car aucune correspondance trouvée;31 allée France Gall;CHASSE-SUR-RHONE;38670
2138N0484186J;Avenue de la Libération 38290 La Verpillière;;Avenue de la Libération;La Verpillière;38290;38537;38;84;38537_0120;866404.07;6506903.6;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la Libération;LA VERPILLIERE;38290
2238N1395117F;2 Rue de l'Atlas 38130 Échirolles;2;Rue de l'Atlas;Échirolles;38130;38151;38;84;38151_0048_00002;912017.5;6453731;adresse géocodée ban à l'adresse;2 rue de l'ATLAS;ECHIROLLES, France;38130
2238N1619316G;Rue de la Cotinière 38920 Crolles;;Rue de la Cotinière;Crolles;38920;38140;38;84;38140_0208;926073.08;6469552.89;adresse non géocodée ban car aucune correspondance trouvée;Eco quartier - secteur 2 - ilot 1a et 1b;Crolles;38920
2238N3118630E;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;941407.24;6447891.97;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N0476709V;186 Avenue d'Uriage 38410 Vaulnaveys-le-Haut;186;Avenue d'Uriage;Vaulnaveys-le-Haut;38410;38529;38;84;38529_0646_00186;920835.56;6450226.03;adresse géocodée ban à l'adresse;186 Avenue d'Uriage;Vaulnaveys-le-Haut;38410
2338N4194649O;Huez;;;Huez;38750;38191;38;84;38191;941571.22;6448007.94;adresse non géocodée ban car aucune correspondance trouvée;Les Eterlous;HUEZ;38750
2238N2036577T;Avenue des Jeux 38750 Huez;;Des Jeux;Huez;38750;38191;38;84;38191_0260;941310.88;6448296.8;adresse géocodée ban à l'adresse;Des Jeux;Huez;38750
2338N1191252H;Hlm le Repos 38540 Heyrieux;;Hlm le Repos;Heyrieux;38540;38189;38;84;38189_qncoh5;860853.2;6505779.18;adresse géocodée ban à l'adresse;Rue du Repos;HEYRIEUX;38540
2338N2415492L;Chemin des Buis 38330 Saint-Ismier;;Chemin des Buis;Saint-Ismier;38330;38397;38;84;38397_0041;921478.97;6465673.12;adresse non géocodée ban car aucune correspondance trouvée;180 chemin des Buis;SAINT-ISMIER;38330
2238N2279588I;Rue Emile Romanet 38370 Saint-Clair-du-Rhône;;;Saint-Clair-du-Rhône;38370;38378;38;84;38378_0310;838449.41;6483791.27;adresse géocodée ban à l'adresse;Clair Romanet B;;
"Le Bourg""";;4221.8;60;2378.1;1415.1;0;350.7;77.9;3912.3;56;2321.8;0;152.5;33.9;850.7
2238N2743931R;166 allee du parc 38920 Crolles;166;allee du parc;Crolles;38920;38140;38;84;38140_0497_00166;926175.35;6469332.59;adresse géocodée ban à l'adresse;Bâtiment C 2;;
ZAC éco-quartier;;;;;;;;;;;;;;;
"166 allée du Parc""";;3570.8;59;1839.9;1059.2;0;311.3;360.4;3181.9;53;1830.7;0;135.3;156.7;106.4
