numero_dpe;besoin_chauffage;besoin_ecs;besoin_refroidissement;besoin_ecs_batiment;besoin_ecs_logement
2338N2560504V;;;;;
2238N0996124I;;;;;
2438N1507671H;;;;;
2338N4117925Q;;;;;
2438N1696689F;1231;619;52;;
2438N1022363P;;;;;
2238N0968200I;;;;;
2438N1277396O;;;;;
2238N0543102K;;;;;
2338N1844181Y;;;;;
2338N0884822N;;;;;
2238N0131428U;;;;;
2238N0333042E;;;;;
2438N2152764O;;;;;
2138N0692235G;;;;;
2338N3257262F;;;;;
2338N0922185O;;;;;
2238N1070648Q;;;;;
2238N0446440Q;;;;;
2238N1018419V;;;;;
2238N2641789D;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;
"Girot""";;;;;
2338N0790945W;;;;;
2338N0550859U;;;;;
Bâtiment B - Appartement N° B4;;;;;
"Rue de la Peyrouse""";;;;;
2238N1268684K;;;;;
2138N0451961Y;;;;;
"AVENUE DU RIF NEL AMONT""";;;;;
2338N3917534H;;;;;
2238N2283671J;;;;;
"Le Bourg""";;;;;
2338N3115961O;;;;;
2238N2552460K;;;;;
"Rue de Nantes""";;;;;
2338N3871285M;;;;;
2238N0152614Q;;;;;
2338N2559860B;;;;;
2338N1744824N;;;;;
2138N0773388N;;;;;
2138N0701932F;;;;;
2338N2522389W;;;;;
2338N2088057U;;;;;
2438N0083911H;;;;;
2238N1253797V;;;;;
2438N0898981D;;;;;
2438N1228705V;;;;;
2138N0420988R;;;;;
2338N0552580Z;;;;;
"Lotissement le Clos de la Vigne""";;;;;
2138N0141529G;;;;;
2138N0705640V;;;;;
2238N0772489Z;;;;;
2338N0082375E;;;;;
2138N0565724L;;;;;
2238N1070599T;;;;;
2238N2855315R;;;;;
2238N1466155L;;;;21832182.2;1017818
2238N2164855N;;;;;
2238N0654303J;;;;;
2338N4066211Q;;;;;
2338N3901918R;;;;;
2438N1701793N;;;;;
2238N0535834W;;;;;
2238N2869373J;;;;;
2338N0381913W;;;;;
2438N1111880O;;;;;
2338N2560488F;;;;;
2338N3901826D;;;;;
2338N1955067U;;;;;
"9 chemin des seites""";;;;;
2238N0198165P;;;;;
2338N2629279A;;;;;
2238N1182416K;;;;;
2238N0149701P;;;;;
2338N0938792H;;;;;
2338N0241196R;;;;;
2138N0609198N;;;;;
2238N3118597X;;;;;
2138N0455351I;;;;;
"AVENUE DU RIF NEL AMONT""";;;;;
2338N1925163Q;;;;;
2238N2206388Y;;;;;
2338N3901971S;;;;;
2238N0182348G;;;;;
2438N1675538S;;;;;
2138N1042698P;;;;;
2138N0862832R;;;;;
2438N1088766O;;;;;
2338N1405928B;;;;;
2438N1657267Z;1472;527;0;;
2238N2898762S;;;;;
2238N2164355H;;;;;
2238N0017277J;;;;;
2138N0756045M;;;;;
2338N0729527Q;;;;;
2438N0299893H;;;;;
2238N2472633D;;;;;
2438N1699953T;;;;;
2438N2217554M;;;;;
2434N1873557R;;;;;
2438N2198681P;;;;;
2238N2358104E;;;;;
2238N1061052O;;;;;
2338N1213768H;;;;;
2238N1932701N;;;;;
2438N3951339N;;;;;
2238N1395101P;;;;18861206.9;1265967.6
2438N1582976Q;;;;;
2238N1028657P;;;;;
2238N0978623F;;;;;
2238N2628455H;;;;;
"Rue de Nantes""";;;;;
2238N0986213D;;;;8271243.6;1378540.6
2338N4082408P;;;;;
2338N2465645K;;;;;
2438N0279813Z;;;;;
2238N1114036K;;;;;
2138N0893605G;;;;;
2238N2777021J;;;;;
2238N0754503F;;;;;
